"; PTT 104659, Serial 15P1019, Run 1 - 0.25&deg; Grid Size @ 03-Feb-2017 09:33"
"; Marine @ 75.0 kilometers/day, Model Score 42.82"
"; 3 Status Clock Corrections, 23 Twilights, 12 SSTs, 2 User Locations"
"; SST Reference Data Set: NOAA OI SST V2 High Resolution, Bathymetry Reference Data Set: ETOPO1-Bedrock"

DeployID,Ptt,Date,Most Likely Latitude,Most Likely Longitude,Observation Type,Observed SST,Satellite SST,Observed Depth,Bathymetry Depth,Observation LL (MSS),Observation Score,Sunrise,Sunset
15P1019,104659,07-Aug-2016 08:00:00,43.125,5.175,User,,,,,,52.3107601529043,,
15P1019,104659,07-Aug-2016 12:00:00,43.125,5.2,None,,,,,,,,
15P1019,104659,08-Aug-2016 00:00:00,42.875,5.25,None,,,,,,,08-Aug-2016 04:37:52,08-Aug-2016 18:50:34
15P1019,104659,08-Aug-2016 03:20:00,42.875,5.25,Light - Dawn,,,16,2025,0.979696907583389,99.2620365564676,,
15P1019,104659,08-Aug-2016 09:00:00,42.725,5.25,SST,22.6,22.2387495040894,0,2163,,37.3972572111008,,
15P1019,104659,08-Aug-2016 12:00:00,42.725,5.25,None,,,,,,,,
15P1019,104659,08-Aug-2016 18:11:15,42.65,5.25,Light - Dusk,,,16,2163,0.945394806440049,99.0183738963601,,
15P1019,104659,09-Aug-2016 00:00:00,42.625,5.25,None,,,,,,,09-Aug-2016 04:39:31,09-Aug-2016 18:48:39
15P1019,104659,09-Aug-2016 03:48:45,42.625,5.25,Light - Dawn,,,16,2163,3.60450596069779,93.1091141996813,,
15P1019,104659,09-Aug-2016 07:00:00,42.625,5.25,SST,22.4,21.5149994691213,0,2163,,19.2758534110214,,
15P1019,104659,09-Aug-2016 12:00:00,42.625,5.225,None,,,,,,,,
15P1019,104659,09-Aug-2016 18:16:15,42.625,5.225,Light - Dusk,,,80,2163,15.8304267817839,26.1442125576463,,
15P1019,104659,10-Aug-2016 00:00:00,42.625,5.2,None,,,,,,,10-Aug-2016 04:40:47,10-Aug-2016 18:47:29
15P1019,104659,10-Aug-2016 03:00:00,42.625,5.2,SST,21.9,20.2524995803833,0,2163,,3.87653617731834,,
15P1019,104659,10-Aug-2016 03:46:15,42.625,5.2,Light - Dawn,,,16,2163,15.7485157034366,28.8177181540131,,
15P1019,104659,10-Aug-2016 12:00:00,42.625,5.125,None,,,,,,,,
15P1019,104659,10-Aug-2016 18:31:15,42.625,5.125,Light - Dusk,,,112,2163,0.4139284443321,99.7888340519048,,
15P1019,104659,11-Aug-2016 00:00:00,42.625,5.1,None,,,,,,,11-Aug-2016 04:42:15,11-Aug-2016 18:46:29
15P1019,104659,11-Aug-2016 03:47:30,42.625,5.1,Light - Dawn,,,16,2163,23.6804210952995,5.73970018194317,,
15P1019,104659,11-Aug-2016 05:00:00,42.625,5.1,SST,21.2,20.4579164187113,0,2163,,38.4723061351328,,
15P1019,104659,11-Aug-2016 12:00:00,42.625,5.075,None,,,,,,,,
15P1019,104659,11-Aug-2016 18:35:00,42.625,5.075,Light - Dusk,,,48,2163,42.5958604262124,0.107445006437099,,
15P1019,104659,12-Aug-2016 00:00:00,42.625,5.075,None,,,,,,,12-Aug-2016 04:43:25,12-Aug-2016 18:45:10
15P1019,104659,12-Aug-2016 03:45:00,42.625,5.075,Light - Dawn,,,16,2163,11.8812093117386,44.7829395880091,,
15P1019,104659,12-Aug-2016 04:00:00,42.625,5.075,SST,20.7,20.799999554952,0,2163,,82.481072651248,,
15P1019,104659,12-Aug-2016 12:00:00,42.625,5,None,,,,,,,,
15P1019,104659,12-Aug-2016 18:33:45,42.625,4.975,Light - Dusk,,,80,1898,14.5824615987256,33.2373597707402,,
