DeployID,Ptt,DepthSensor,Source,Instr,Day,Time,LocationQuality,Latitude,Longitude,Depth,DRange,Temperature,TRange
15P1019,104659,,Transmission,MiniPAT,07-08-2016,08:10:00,,,,105.0,14.00,14.2,0.25
15P1019,104659,,Transmission,MiniPAT,07-08-2016,08:15:00,,,,85.0,7.25,14.2,0.25
15P1019,104659,,Transmission,MiniPAT,07-08-2016,08:20:00,,,,72.0,7.25,14.2,0.25
15P1019,104659,,Transmission,MiniPAT,07-08-2016,08:25:00,,,,23.0,3.50,16.3,0.25
15P1019,104659,,Transmission,MiniPAT,07-08-2016,08:30:00,,,,46.0,7.00,15.1,0.25
15P1019,104659,,Transmission,MiniPAT,07-08-2016,08:35:00,,,,16.5,3.50,18.0,0.25
15P1019,104659,,Transmission,MiniPAT,07-08-2016,08:40:00,,,,36.0,3.75,15.5,0.25
15P1019,104659,,Transmission,MiniPAT,07-08-2016,08:45:00,,,,23.0,3.50,18.0,0.25
15P1019,104659,,Transmission,MiniPAT,07-08-2016,08:50:00,,,,23.0,3.50,18.0,0.25
15P1019,104659,,Transmission,MiniPAT,07-08-2016,08:55:00,,,,23.0,3.50,17.6,0.25
15P1019,104659,,Transmission,MiniPAT,07-08-2016,09:00:00,,,,23.0,3.50,18.0,0.25
15P1019,104659,,Transmission,MiniPAT,07-08-2016,09:05:00,,,,16.5,3.50,18.0,0.25
15P1019,104659,,Transmission,MiniPAT,07-08-2016,09:10:00,,,,23.0,3.50,18.0,0.25
15P1019,104659,,Transmission,MiniPAT,07-08-2016,09:15:00,,,,16.5,3.50,18.0,0.25
15P1019,104659,,Transmission,MiniPAT,07-08-2016,09:20:00,,,,1.5,1.75,18.4,0.25
15P1019,104659,,Transmission,MiniPAT,07-08-2016,09:25:00,,,,16.5,3.50,18.0,0.25
15P1019,104659,,Transmission,MiniPAT,07-08-2016,09:30:00,,,,23.0,3.50,18.0,0.25
15P1019,104659,,Transmission,MiniPAT,07-08-2016,09:35:00,,,,183.5,14.75,13.8,0.25
15P1019,104659,,Transmission,MiniPAT,07-08-2016,09:40:00,,,,36.0,3.75,15.5,0.25
15P1019,104659,,Transmission,MiniPAT,07-08-2016,09:45:00,,,,16.5,3.50,18.4,0.25
15P1019,104659,,Transmission,MiniPAT,07-08-2016,09:50:00,,,,29.5,3.75,16.3,0.25
15P1019,104659,,Transmission,MiniPAT,07-08-2016,09:55:00,,,,16.5,3.50,18.4,0.25
15P1019,104659,,Transmission,MiniPAT,07-08-2016,10:00:00,,,,36.0,3.75,15.5,0.25
15P1019,104659,,Transmission,MiniPAT,07-08-2016,10:05:00,,,,23.0,3.50,18.0,0.25
15P1019,104659,,Transmission,MiniPAT,07-08-2016,10:10:00,,,,23.0,3.50,18.0,0.25
15P1019,104659,,Transmission,MiniPAT,07-08-2016,10:15:00,,,,16.5,3.50,18.4,0.25
15P1019,104659,,Transmission,MiniPAT,07-08-2016,10:20:00,,,,23.0,3.50,18.0,0.25
15P1019,104659,,Transmission,MiniPAT,07-08-2016,10:25:00,,,,11.5,2.00,18.4,0.25
15P1019,104659,,Transmission,MiniPAT,07-08-2016,10:30:00,,,,1.5,1.75,19.3,0.30
