"x"	"y"	"tim"	"tim_2"	"tim_3"	"group"
"1"	-1.04320702888072	0	1	1	1	1
"2"	0.565818276256323	0	2	4	8	1
"3"	-1.21016175858676	0	3	9	27	1
"4"	0.0763236163184047	0	4	16	64	1
"5"	-0.406699916347861	0	5	25	125	1
"6"	0.442699585109949	1	6	36	216	1
"7"	-1.25522658601403	0	1	1	1	2
"8"	0.297389877960086	0	2	4	8	2
"9"	1.00741250254214	0	3	9	27	2
"10"	-0.422112035565078	0	4	16	64	2
"11"	-1.15269584488124	0	5	25	125	2
"12"	1.10876296088099	1	6	36	216	2
"13"	0.892295068129897	0	1	1	1	3
"14"	1.99715620372444	1	2	4	8	3
"15"	-0.174644993618131	0	1	1	1	4
"16"	-1.16632828116417	0	2	4	8	4
"17"	-1.4075859952718	0	3	9	27	4
"18"	0.633773197419941	0	4	16	64	4
"19"	-0.584177461452782	0	5	25	125	4
"20"	-1.31871024612337	0	6	36	216	4
"21"	0.745964115485549	0	7	49	343	4
"22"	-1.84002930205315	0	8	64	512	4
"23"	1.01639068033546	0	9	81	729	4
"24"	-1.94158473238349	0	10	100	1000	4
"25"	-1.97156479768455	0	11	121	1331	4
"26"	1.24423944670707	0	12	144	1728	4
"27"	-0.971983912400901	0	13	169	2197	4
"28"	1.78700558748096	0	14	196	2744	4
"29"	0.624924356117845	0	15	225	3375	4
"30"	-1.26272404100746	0	16	256	4096	4
"31"	1.91516385786235	1	17	289	4913	4
"32"	1.66317589953542	0	1	1	1	5
"33"	-0.42975811380893	0	2	4	8	5
"34"	-0.254945960827172	0	3	9	27	5
"35"	-1.51665773242712	1	4	16	64	5
"36"	0.962683508172631	1	1	1	1	6
"37"	0.517705406062305	0	1	1	1	7
"38"	-0.836916552856565	0	2	4	8	7
"39"	0.682632845826447	1	3	9	27	7
"40"	-0.1149962246418	0	1	1	1	8
"41"	1.67358085699379	1	2	4	8	8
"42"	-0.981184721924365	0	1	1	1	9
"43"	1.43108538445085	0	2	4	8	9
"44"	-0.512718657031655	0	3	9	27	9
"45"	-1.05054325331002	0	4	16	64	9
"46"	1.71822046115994	0	5	25	125	9
"47"	1.24579411372542	0	6	36	216	9
"48"	-0.905378743074834	0	7	49	343	9
"49"	1.11412540636957	0	8	64	512	9
"50"	-1.64984475821257	0	9	81	729	9
"51"	-1.14543814305216	0	10	100	1000	9
