"","A","Ci","Tleaf","Press","PPFD","Treat"
"1",2.15459524844197,75,10,100,2000,"10"
"2",2.73379172241635,100,10,100,2000,"10"
"3",3.43028939789653,150,10,100,2000,"10"
"4",3.83425584148411,200,10,100,2000,"10"
"5",4.09800165302931,250,10,100,2000,"10"
"6",4.28373772534172,300,10,100,2000,"10"
"7",4.4216152015591,350,10,100,2000,"10"
"8",4.5280205160477,400,10,100,2000,"10"
"9",4.78688670698213,600,10,100,2000,"10"
"10",4.92220286002017,800,10,100,2000,"10"
"11",5.00537875372609,1000,10,100,2000,"10"
"12",5.06168239661031,1200,10,100,2000,"10"
"13",5.10232540402088,1400,10,100,2000,"10"
"14",5.13304394524465,1600,10,100,2000,"10"
"15",5.15707761603874,1800,10,100,2000,"10"
"16",3.40591450622992,75,15,100,2000,"15"
"17",4.54994818385843,100,15,100,2000,"15"
"18",5.98146496141964,150,15,100,2000,"15"
"19",6.84116260600396,200,15,100,2000,"15"
"20",7.41462290279652,250,15,100,2000,"15"
"21",7.82439843360266,300,15,100,2000,"15"
"22",8.1318181921283,350,15,100,2000,"15"
"23",8.37097468230325,400,15,100,2000,"15"
"24",8.9598623863233,600,15,100,2000,"15"
"25",9.27173868063175,800,15,100,2000,"15"
"26",9.46484390705889,1000,15,100,2000,"15"
"27",9.59617247827648,1200,15,100,2000,"15"
"28",9.69128107924386,1400,15,100,2000,"15"
"29",9.76333786023998,1600,15,100,2000,"15"
"30",9.81981769594526,1800,15,100,2000,"15"
"31",4.27606393240946,75,20,100,2000,"20"
"32",6.84980855048837,100,20,100,2000,"20"
"33",9.63506072271075,150,20,100,2000,"20"
"34",11.3728524523858,200,20,100,2000,"20"
"35",12.5605451250824,250,20,100,2000,"20"
"36",13.4236475616734,300,20,100,2000,"20"
"37",14.0792261779779,350,20,100,2000,"20"
"38",14.5940940736802,400,20,100,2000,"20"
"39",15.8803807240161,600,20,100,2000,"20"
"40",16.5724745710867,800,20,100,2000,"20"
"41",17.0048478264772,1000,20,100,2000,"20"
"42",17.3006000322808,1200,20,100,2000,"20"
"43",17.5156506488305,1400,20,100,2000,"20"
"44",17.6790655272185,1600,20,100,2000,"20"
"45",17.8074486419033,1800,20,100,2000,"20"
"46",2.15830602470381,75,25,100,2000,"25"
"47",4.7958211143695,100,25,100,2000,"25"
"48",9.61526946107784,150,25,100,2000,"25"
"49",13.9099520905923,200,25,100,2000,"25"
"50",17.7611524163569,250,25,100,2000,"25"
"51",21.2341908876669,300,25,100,2000,"25"
"52",23.1928817451206,350,25,100,2000,"25"
"53",24.254376930999,400,25,100,2000,"25"
"54",26.9518599562363,600,25,100,2000,"25"
"55",28.4308300395257,800,25,100,2000,"25"
"56",29.3648088438508,1000,25,100,2000,"25"
"57",30.0081680280047,1200,25,100,2000,"25"
"58",30.4782901380007,1400,25,100,2000,"25"
"59",30.8368436665678,1600,25,100,2000,"25"
"60",31.1193317422434,1800,25,100,2000,"25"
"61",0.203723442768451,75,30,100,2000,"30"
"62",2.50956991870551,100,30,100,2000,"30"
"63",6.84694785501588,150,30,100,2000,"30"
"64",10.8534492683174,200,30,100,2000,"30"
"65",14.5655444258836,250,30,100,2000,"30"
"66",18.0145337160389,300,30,100,2000,"30"
"67",21.2274323711184,350,30,100,2000,"30"
"68",24.2276795194598,400,30,100,2000,"30"
"69",34.4750350413131,600,30,100,2000,"30"
"70",42.5773303136358,800,30,100,2000,"30"
"71",49.0287252097648,1000,30,100,2000,"30"
"72",50.3810274450286,1200,30,100,2000,"30"
"73",51.3750973476929,1400,30,100,2000,"30"
"74",52.1366325102531,1600,30,100,2000,"30"
"75",52.7386815549844,1800,30,100,2000,"30"
"76",-1.55865158214981,75,35,100,2000,"35"
"77",0.41946087548506,100,35,100,2000,"35"
"78",4.21474499169548,150,35,100,2000,"35"
"79",7.8096064065665,200,35,100,2000,"35"
"80",11.2195127003663,250,35,100,2000,"35"
"81",14.4583797608279,300,35,100,2000,"35"
"82",17.5387616028656,350,35,100,2000,"35"
"83",20.4720129888107,400,35,100,2000,"35"
"84",30.9261554182405,600,35,100,2000,"35"
"85",39.7033688426574,800,35,100,2000,"35"
"86",47.1771840470434,1000,35,100,2000,"35"
"87",53.6178623548187,1200,35,100,2000,"35"
"88",59.2257768444611,1400,35,100,2000,"35"
"89",64.1526315016862,1600,35,100,2000,"35"
"90",68.5153919893678,1800,35,100,2000,"35"
