Janv;1979;;1597318;;1645.2;
Fevr;1979;;1594601;;1642.4;
Mars;1979;;1959054;;2017.8;
AVRI;1979;;2096974;;2159.9;
Mai;1979;;2456100;;2529.8;
Juin;1979;;2347932;;2418.4;
Juil;1979;;2210202;;2276.5;
Aout;1979;;1953763;;2012.4;
Sept;1979;;1750681;;1803.2;
Octo;1979;;1735740;;1787.8;
Nove;1979;;1581364;;1628.8;
Dece;1979;;1664849;22948578;1714.8;23637
Janv;1980;7.8;1721834;23073094;1773.5;23765
Fevr;1980;11.3;1774979;23253472;1828.2;23951
Mars;1980;5.9;2075012;23369430;2137.3;24071
AVRI;1980;8.7;2279502;23551958;2347.9;24259
Mai;1980;6.2;2607399;23703257;2685.6;24414
Juin;1980;2.7;2411561;23766886;2483.9;24480
Juil;1980;2.3;2260994;23817678;2328.8;24532
Aout;1980;4.8;2046675;23910590;2108.1;24628
Sept;1980;5.5;1847258;24007167;1902.7;24727
Octo;1980;3.3;1793137;24064564;1846.9;24787
Nove;1980;1.6;1606820;24090020;1655.0;24813
Dece;1980;3.4;1721843;24147014;1773.5;24871
Janv;1981;4.2;1794794;24219974;1848.6;24947
Fevr;1981;-0.9;1759560;24204555;1812.3;24931
Mars;1981;2.9;2134974;24264517;2199.0;24992
AVRI;1981;3.9;2368550;24353565;2439.6;25084
Mai;1981;-1.3;2572464;24318630;2649.6;25048
Juin;1981;-0.7;2395104;24302173;2467.0;25031
Juil;1981;2.4;2316025;24357204;2385.5;25088
Aout;1981;0.1;2047819;24358348;2109.3;25089
Sept;1981;-3.6;1781630;24292720;1835.1;25022
Octo;1981;-2.0;1756414;24255997;1809.1;24984
Nove;1981;3.3;1660136;24309313;1709.9;25039
Dece;1981;0.4;1729501;24316971;1781.4;25046
Janv;1982;-0.3;1789624;24311801;1843.3;25041
Fevr;1982;2.8;1808759;24361000;1863.0;25092
Mars;1982;2.4;2186432;24412458;2252.0;25145
AVRI;1982;-0.3;2362357;24406265;2433.2;25138
Mai;1982;3.9;2672996;24506797;2753.2;25242
Juin;1982;0.7;2411408;24523101;2483.8;25259
Juil;1982;-3.3;2238482;24445558;2305.6;25179
Aout;1982;-0.1;2046011;24443750;2107.4;25177
Sept;1982;3.6;1845103;24507223;1900.5;25242
Octo;1982;3.9;1824357;24575166;1879.1;25312
Nove;1982;7.5;1783851;24698881;1837.4;25440
Dece;1982;7.2;1853989;24823369;1909.6;25568
Janv;1983;9.8;1964843;24998588;2023.8;25749
Fevr;1983;4.5;1890011;25079840;1946.7;25832
Mars;1983;5.5;2307644;25201052;2376.9;25957
AVRI;1983;2.4;2419281;25257976;2491.9;26016
Mai;1983;-0.7;2653000;25237980;2732.6;25995
Juin;1983;2.2;2463480;25290052;2537.4;26049
Juil;1983;-0.3;2232060;25283630;2299.0;26042
Aout;1983;-3.5;1975271;25212890;2034.5;25969
Sept;1983;-3.0;1789976;25157763;1843.7;25912
Octo;1983;4.9;1913586;25246992;1971.0;26004
Nove;1983;3.3;1843298;25306439;1898.6;26066
Dece;1983;2.2;1894178;25346628;1951.0;26107
Janv;1984;2.0;2004629;25386414;2064.8;26148
Fevr;1984;6.2;2006941;25503344;2067.1;26268
Mars;1984;0.3;2314142;25509842;2383.6;26275
AVRI;1984;1.1;2446395;25536956;2519.8;26303
Mai;1984;4.1;2760521;25644477;2843.3;26414
Juin;1984;1.2;2492309;25673306;2567.1;26444
Juil;1984;0.2;2236168;25677414;2303.3;26448
Aout;1984;-2.9;1918059;25620202;1975.6;26389
Sept;1984;-4.9;1701600;25531826;1752.6;26298
Octo;1984;-4.7;1823646;25441886;1878.4;26205
Nove;1984;-4.0;1768810;25367398;1821.9;26128
Dece;1984;-1.4;1866806;25340026;1922.8;26100
Janv;1985;-7.4;1856819;25192216;1912.5;25948
Fevr;1985;-9.4;1817447;25002722;1872.0;25753
Mars;1985;-5.1;2195949;24884529;2261.8;25631
AVRI;1985;-5.8;2304444;24742578;2373.6;25485
Mai;1985;-5.2;2618052;24600109;2696.6;25338
Juin;1985;-3.9;2394025;24501825;2465.8;25237
Juil;1985;-0.4;2227636;24493293;2294.5;25228
Aout;1985;4.6;2006985;24582219;2067.2;25320
Sept;1985;5.4;1793139;24673758;1846.9;25414
Octo;1985;0.3;1829247;24679359;1884.1;25420
Nove;1985;-0.6;1759065;24669614;1811.8;25410
Dece;1985;2.5;1913955;24716763;1971.4;25458
Janv;1986;8.9;2021775;24881719;2082.4;25628
Fevr;1986;4.7;1903157;24967429;1960.3;25716
Mars;1986;2.4;2248470;25019950;2315.9;25771
AVRI;1986;1.6;2340483;25055989;2410.7;25808
Mai;1986;1.4;2654480;25092417;2734.1;25845
Juin;1986;3.3;2472176;25170568;2546.3;25926
Juil;1986;1.1;2251675;25194607;2319.2;25950
Aout;1986;-3.8;1931668;25119290;1989.6;25873
Sept;1986;-0.3;1787401;25113552;1841.0;25867
Octo;1986;4.3;1908405;25192710;1965.7;25948
Nove;1986;2.8;1808304;25241949;1862.6;25999
