3542	1993-01-01
9788	1993-01-02
13204	1993-01-03
9342	1993-01-04
6792	1993-01-05
7300	1993-01-06
8407	1993-01-07
7749	1993-01-08
5704	1993-01-09
8179	1993-01-10
7764	1993-01-11
7677	1993-01-12
8208	1993-01-13
8655	1993-01-14
9684	1993-01-15
5317	1993-01-16
8506	1993-01-17
7441	1993-01-18
7492	1993-01-19
7455	1993-01-20
8481	1993-01-21
9862	1993-01-22
5123	1993-01-23
7449	1993-01-24
7295	1993-01-25
7726	1993-01-26
8282	1993-01-27
9074	1993-01-28
9521	1993-01-29
5660	1993-01-30
9193	1993-01-31
7859	1993-02-01
7621	1993-02-02
7914	1993-02-03
8653	1993-02-04
9661	1993-02-05
5316	1993-02-06
8430	1993-02-07
7831	1993-02-08
7706	1993-02-09
8550	1993-02-10
8666	1993-02-11
10516	1993-02-12
6779	1993-02-13
9135	1993-02-14
7707	1993-02-15
7334	1993-02-16
7990	1993-02-17
8711	1993-02-18
10266	1993-02-19
7144	1993-02-20
10083	1993-02-21
7757	1993-02-22
8062	1993-02-23
8055	1993-02-24
9112	1993-02-25
11507	1993-02-26
9263	1993-02-27
10386	1993-02-28
8511	1993-03-01
7321	1993-03-02
7613	1993-03-03
8360	1993-03-04
9380	1993-03-05
7268	1993-03-06
10873	1993-03-07
7723	1993-03-08
6993	1993-03-09
7521	1993-03-10
8650	1993-03-11
9678	1993-03-12
7365	1993-03-13
10924	1993-03-14
8125	1993-03-15
8395	1993-03-16
8497	1993-03-17
10042	1993-03-18
10152	1993-03-19
6359	1993-03-20
8687	1993-03-21
8214	1993-03-22
8075	1993-03-23
8615	1993-03-24
9544	1993-03-25
10358	1993-03-26
5782	1993-03-27
8189	1993-03-28
8444	1993-03-29
8352	1993-03-30
9217	1993-03-31
10278	1993-04-01
11144	1993-04-02
6506	1993-04-03
8943	1993-04-04
9068	1993-04-05
8475	1993-04-06
9423	1993-04-07
12103	1993-04-08
11871	1993-04-09
6745	1993-04-10
5256	1993-04-11
7877	1993-04-12
9334	1993-04-13
8703	1993-04-14
9870	1993-04-15
10317	1993-04-16
7379	1993-04-17
6879	1993-04-18
9667	1993-04-19
8743	1993-04-20
8501	1993-04-21
10916	1993-04-22
13197	1993-04-23
9296	1993-04-24
7948	1993-04-25
9755	1993-04-26
8487	1993-04-27
8474	1993-04-28
10703	1993-04-29
12133	1993-04-30
8219	1993-05-01
8548	1993-05-02
9158	1993-05-03
8061	1993-05-04
8592	1993-05-05
9800	1993-05-06
12202	1993-05-07
8398	1993-05-08
8878	1993-05-09
10317	1993-05-10
9522	1993-05-11
9693	1993-05-12
10991	1993-05-13
13261	1993-05-14
8281	1993-05-15
7304	1993-05-16
8450	1993-05-17
8754	1993-05-18
11701	1993-05-19
6721	1993-05-20
5765	1993-05-21
6868	1993-05-22
10001	1993-05-23
10461	1993-05-24
9142	1993-05-25
9435	1993-05-26
11241	1993-05-27
14696	1993-05-28
8743	1993-05-29
4288	1993-05-30
9200	1993-05-31
10020	1993-06-01
9541	1993-06-02
9893	1993-06-03
13262	1993-06-04
8744	1993-06-05
9043	1993-06-06
9823	1993-06-07
9400	1993-06-08
9565	1993-06-09
11446	1993-06-10
13683	1993-06-11
7856	1993-06-12
8282	1993-06-13
9402	1993-06-14
9219	1993-06-15
10397	1993-06-16
11756	1993-06-17
13973	1993-06-18
7860	1993-06-19
8308	1993-06-20
10273	1993-06-21
9609	1993-06-22
10345	1993-06-23
11594	1993-06-24
12934	1993-06-25
8117	1993-06-26
7900	1993-06-27
10448	1993-06-28
9803	1993-06-29
10589	1993-06-30
10363	1993-07-01
12102	1993-07-02
7664	1993-07-03
7807	1993-07-04
9597	1993-07-05
9369	1993-07-06
10603	1993-07-07
11570	1993-07-08
12902	1993-07-09
7677	1993-07-10
7344	1993-07-11
7943	1993-07-12
6979	1993-07-13
4679	1993-07-14
7316	1993-07-15
8812	1993-07-16
6558	1993-07-17
7837	1993-07-18
7566	1993-07-19
7190	1993-07-20
7026	1993-07-21
8247	1993-07-22
9200	1993-07-23
6588	1993-07-24
6452	1993-07-25
7221	1993-07-26
6490	1993-07-27
7543	1993-07-28
8028	1993-07-29
10190	1993-07-30
7938	1993-07-31
7455	1993-08-01
7218	1993-08-02
5918	1993-08-03
6189	1993-08-04
7274	1993-08-05
8031	1993-08-06
6946	1993-08-07
6268	1993-08-08
6774	1993-08-09
5198	1993-08-10
5340	1993-08-11
6758	1993-08-12
8241	1993-08-13
6557	1993-08-14
6542	1993-08-15
7299	1993-08-16
5762	1993-08-17
5832	1993-08-18
6866	1993-08-19
8581	1993-08-20
7214	1993-08-21
7179	1993-08-22
7671	1993-08-23
6405	1993-08-24
7030	1993-08-25
7999	1993-08-26
10327	1993-08-27
8069	1993-08-28
7882	1993-08-29
8851	1993-08-30
8336	1993-08-31
8780	1993-09-01
9501	1993-09-02
11638	1993-09-03
9002	1993-09-04
9278	1993-09-05
9860	1993-09-06
8350	1993-09-07
8574	1993-09-08
9509	1993-09-09
12154	1993-09-10
6697	1993-09-11
7125	1993-09-12
8626	1993-09-13
8837	1993-09-14
9993	1993-09-15
10866	1993-09-16
13094	1993-09-17
7090	1993-09-18
7357	1993-09-19
9089	1993-09-20
8688	1993-09-21
9871	1993-09-22
10903	1993-09-23
13040	1993-09-24
7210	1993-09-25
7187	1993-09-26
9163	1993-09-27
8709	1993-09-28
9090	1993-09-29
10589	1993-09-30
11711	1993-10-01
6707	1993-10-02
7253	1993-10-03
9082	1993-10-04
8343	1993-10-05
9353	1993-10-06
10509	1993-10-07
11895	1993-10-08
5582	1993-10-09
7501	1993-10-10
9027	1993-10-11
7775	1993-10-12
9874	1993-10-13
11045	1993-10-14
11471	1993-10-15
5938	1993-10-16
6769	1993-10-17
9028	1993-10-18
8602	1993-10-19
5748	1993-10-20
10280	1993-10-21
11005	1993-10-22
8268	1993-10-23
6698	1993-10-24
9017	1993-10-25
3164	1993-10-26
8011	1993-10-27
9352	1993-10-28
10714	1993-10-29
6979	1993-10-30
5781	1993-10-31
8606	1993-11-01
8444	1993-11-02
8670	1993-11-03
9271	1993-11-04
9467	1993-11-05
4814	1993-11-06
5400	1993-11-07
7871	1993-11-08
8901	1993-11-09
9271	1993-11-10
7200	1993-11-11
5292	1993-11-12
4758	1993-11-13
9326	1993-11-14
9543	1993-11-15
8642	1993-11-16
8546	1993-11-17
8863	1993-11-18
10153	1993-11-19
4784	1993-11-20
5933	1993-11-21
8000	1993-11-22
8058	1993-11-23
8684	1993-11-24
9804	1993-11-25
11147	1993-11-26
4684	1993-11-27
5907	1993-11-28
7659	1993-11-29
4982	1993-11-30
8323	1993-12-01
8581	1993-12-02
9811	1993-12-03
4299	1993-12-04
5877	1993-12-05
8001	1993-12-06
8372	1993-12-07
9051	1993-12-08
9574	1993-12-09
10081	1993-12-10
4212	1993-12-11
5436	1993-12-12
8019	1993-12-13
8755	1993-12-14
9548	1993-12-15
10375	1993-12-16
10954	1993-12-17
6560	1993-12-18
6431	1993-12-19
8344	1993-12-20
9899	1993-12-21
11060	1993-12-22
