"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10","Rep 11","Rep 12","Rep 13","Rep 14","Rep 15","Rep 16","Rep 17","Rep 18","Rep 19","Rep 20","Rep 21","Rep 22","Rep 23","Rep 24","Rep 25","Rep 26","Rep 27","Rep 28","Rep 29","Rep 30"
"Entity 1.NumberIn","OUTPUT VALUE","Number In","Entity","Entity 1",236,240,255,253,274,258,217,210,267,271,229,252,235,256,249,236,238,248,255,255,230,245,224,205,266,213,241,261,238,226
"Entity 1.NumberOut","OUTPUT VALUE","Number Out","Entity","Entity 1",220,232,236,234,240,245,210,198,234,238,225,228,226,233,236,221,223,236,238,223,222,232,220,200,242,211,229,235,236,210
"Resource 1.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Resource 1",236,240,255,253,270,257,217,210,265,271,229,252,234,256,249,236,238,248,255,255,230,245,224,205,266,213,241,261,238,226
"Resource 1.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Resource 1",0.484787450228761,0.503900864288573,0.521185765291123,0.518233159064411,0.559942702117639,0.531071183767919,0.448516290759295,0.433494982252989,0.545940813250498,0.570841651895981,0.477266992787382,0.521090908409248,0.483541432528907,0.535355456804164,0.51319767670202,0.48580217360726,0.496986011529788,0.522369559912926,0.539001758960641,0.536896495117451,0.477571976377671,0.516466289053347,0.463762727149276,0.43075374434251,0.554295475964653,0.443771815055939,0.49413769396569,0.537185281165633,0.499878773602906,0.471366207175703
"Resource 2.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Resource 2",221,233,237,235,241,246,211,199,235,239,226,229,227,234,237,222,224,237,239,224,223,233,221,201,243,212,230,236,237,211
"Resource 2.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Resource 2",0.930295966681757,0.955410846782315,0.997728233064029,0.974079489769273,0.981697374502618,0.991158222810006,0.890945324065881,0.831363315723701,0.964687248872603,0.995976773242177,0.937913800626114,0.944952905301187,0.934827455366396,0.982915235910531,0.98778165388332,0.932100495787187,0.934963285693464,0.985170947294574,0.996108767694004,0.934225492089151,0.925712894223598,0.987716636000609,0.926155009402079,0.852889125489168,0.976946049881398,0.884650546574267,0.954457935030735,0.982904087712797,0.99535882758887,0.870032520842958
"System.NumberOut","OUTPUT VALUE","Number Out","System","System",220,232,236,234,240,245,210,198,234,238,225,228,226,233,236,221,223,236,238,223,222,232,220,200,242,211,229,235,236,210
"Entity 1.NVATime","TALLY AVERAGE","NVA Time","Entity","Entity 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Entity 1.OtherTime","TALLY AVERAGE","Other Time","Entity","Entity 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Entity 1.TotalTime","TALLY AVERAGE","Total Time","Entity","Entity 1",8.30054156494906,8.99270596510426,19.5387945432512,12.5479105836154,14.7703296700648,10.7700328788232,4.9515662473898,6.42845225818176,11.6919905106963,18.1379367080319,8.19277443794773,13.980775082834,5.50029169957895,13.7941988345819,6.04699931310563,9.41554336645988,9.92756663165382,17.2621428393634,11.8693434716236,14.302898212589,9.75939679218476,6.76272587337998,4.29109293208918,6.33473779821273,13.5418557122768,5.37377556244901,8.10010021330455,11.39654083237,9.52989351732178,6.30426127391653
"Entity 1.TranTime","TALLY AVERAGE","Transfer Time","Entity","Entity 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Entity 1.VATime","TALLY AVERAGE","VA Time","Entity","Entity 1",2.0033514353852,1.9904095574889,1.99055812122069,1.98932506663955,1.98175324559499,1.96981480841915,2.01359475268802,1.99117301820888,1.98128201512959,2.0126154905899,2.0037395349948,1.98489606940054,1.98673002968904,2.01520686940472,1.99619317875245,2.00392067956131,2.01086296506238,2.01281075860149,2.01628886391665,2.01614453329943,1.99144994235683,2.03159101906673,2.00821778464227,2.03135003972285,1.96459006445987,2.00528674765131,1.9856963825726,1.9885988453269,2.01772647077784,1.99476563468597
"Entity 1.WaitTime","TALLY AVERAGE","Wait Time","Entity","Entity 1",6.29719012956386,7.00229640761535,17.5482364220305,10.5585855169759,12.7885764244698,8.80021807040404,2.93797149470178,4.43727923997288,9.71070849556677,16.1253212174419,6.18903490295293,11.9958790134334,3.5135616698899,11.7789919651772,4.05080613435319,7.41162268689858,7.91670366659144,15.2493320807619,9.85305460770691,12.2867536792895,7.76794684982794,4.73113485431325,2.28287514744691,4.30338775848987,11.5772656478169,3.3684888147977,6.11440383073195,9.40794198704313,7.51216704654394,4.30949563923057
"Entity 1.WIP","DSTAT AVERAGE","WIP","Entity","Entity 1",8.18887642933817,8.92327228295227,20.3019801085095,12.9720478439089,16.3192698146491,11.3328941380234,4.43953550770141,5.71216474530094,12.9209788001881,20.1606579960336,7.72475107542365,14.9979265872437,5.25512075367431,14.2862836886202,6.32530165918723,9.12332746440462,9.58733826493704,17.389326521239,12.2081795703025,15.8901395228633,9.13853811501806,6.98097330895164,3.95378477842092,5.3781101435225,15.1970124154534,4.74303965176096,7.93986462702559,12.4235152109623,9.43661689076901,6.13707661473412
"Process 1.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Process 1.Queue",0.214573778381627,0.152140589714895,0.332655687425811,0.237835301228728,0.262743571529383,0.300694898236876,0.107392117648637,0.133482393079093,0.222477852941019,0.179210029144759,0.144907120669593,0.250815223869617,0.11899133838719,0.197900850254595,0.139594352268827,0.124143722235002,0.149463100142772,0.157808178852122,0.222254399999579,0.24473704988103,0.188683415769755,0.149899802190582,0.103973910977836,8.04180843024062E-02,0.219028294165197,0.110177979395868,0.169774513687634,0.160640337828445,0.159756580596371,0.240730385271203
"Process 1.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Process 1.Queue",0.218210622083011,0.152140589714895,0.313087705812529,0.225614514999583,0.221358491873,0.280601643089455,0.118774692330289,0.152551306376106,0.199887841992185,0.158709988910487,0.151867724719224,0.238871641780587,0.120490506482845,0.185532047113683,0.134548773271159,0.126247853120341,0.150719092580946,0.152717592437538,0.20918061176431,0.230340752829205,0.196887042542353,0.146840622554039,0.111400618904824,9.41480011345242E-02,0.197619513532509,0.124144202136189,0.169070055124614,0.147715253175582,0.16109907287029,0.255642887013667
