"Census Profile, 2021 Census of Population",,,,,,,,,,,,
,,,"Nanaimo, City (CY) [Census subdivision], British Columbia",,"Oak Bay, District municipality (DM) [Census subdivision], British Columbia",,"Victoria, City (CY) [Census subdivision], British Columbia",,"Surrey, City (CY) [Census subdivision], British Columbia",,"Vancouver, City (CY) [Census subdivision], British Columbia",
,,,Counts,,Counts,,Counts,,Counts,,Counts,
Topic,Characteristic,Note,Total,Total_Flag,Total,Total_Flag,Total,Total_Flag,Total,Total_Flag,Total,Total_Flag
Population and dwellings,"Population, 2021",1,99863,,17990,,91867,,568322,,662248,
Population and dwellings,"Population, 2016",1,90504,,18094,,85792,,517887,,631486,
Population and dwellings,"Population percentage change, 2016 to 2021",,10.3,,-0.6,,7.1,,9.7,,4.9,
Population and dwellings,Total private dwellings,2,45138,,8168,,53070,,195098,,328347,
Population and dwellings,Private dwellings occupied by usual residents,3,43164,,7807,,49222,,185671,,305336,
Population and dwellings,Population density per square kilometre,,1104.1,,1710.1,,4722.3,,1797.9,,5749.9,
Population and dwellings,Land area in square kilometres,,90.45,,10.52,,19.45,,316.11,,115.18,
Age characteristics,Total - Age groups of the population - 100% data,,99865,,17990,,91870,,568320,,662250,
Age characteristics,  0 to 14 years,,14135,,2295,,8450,,94060,,70570,
Age characteristics,    0 to 4 years,,4055,,450,,2910,,27960,,23840,
Age characteristics,    5 to 9 years,,4870,,840,,2835,,31770,,23070,
Age characteristics,    10 to 14 years,,5215,,1015,,2705,,34330,,23660,
Age characteristics,  15 to 64 years,,61200,,9540,,62060,,387080,,478960,
Age characteristics,    15 to 19 years,,4625,,1055,,2710,,34980,,26315,
Age characteristics,    20 to 24 years,,5660,,930,,6040,,45280,,43290,
Age characteristics,    25 to 29 years,,6250,,580,,8765,,41355,,67155,
Age characteristics,    30 to 34 years,,6520,,570,,9035,,40780,,69225,
Age characteristics,    35 to 39 years,,6725,,660,,7455,,41055,,57330,
Age characteristics,    40 to 44 years,,5910,,830,,5985,,39335,,45075,
Age characteristics,    45 to 49 years,,5610,,1035,,5205,,37565,,42045,
Age characteristics,    50 to 54 years,,5970,,1175,,5340,,37135,,44840,
Age characteristics,    55 to 59 years,,6725,,1295,,5560,,36695,,44360,
Age characteristics,    60 to 64 years,,7215,,1405,,5965,,32895,,39320,
Age characteristics,  65 years and over,,24520,,6150,,21350,,87180,,112720,
Age characteristics,    65 to 69 years,,7300,,1565,,6020,,28175,,34590,
Age characteristics,    70 to 74 years,,6485,,1700,,5905,,23195,,30055,
Age characteristics,    75 to 79 years,,4525,,1205,,3705,,15580,,18520,
Age characteristics,    80 to 84 years,,3010,,820,,2410,,10300,,13865,
Age characteristics,    85 years and over,,3195,,855,,3320,,9925,,15695,
Age characteristics,      85 to 89 years,,1880,,485,,1675,,5985,,9425,
Age characteristics,      90 to 94 years,,1000,,270,,1235,,3010,,4685,
Age characteristics,      95 to 99 years,,275,,95,,355,,780,,1350,
Age characteristics,      100 years and over,,45,,15,,45,,155,,235,
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,,100,,100,,100,,100,,100,
Age characteristics,  0 to 14 years,,14.2,,12.8,,9.2,,16.6,,10.7,
Age characteristics,  15 to 64 years,,61.3,,53,,67.6,,68.1,,72.3,
Age characteristics,  65 years and over,,24.6,,34.2,,23.2,,15.3,,17,
Age characteristics,    85 years and over,,3.2,,4.8,,3.6,,1.7,,2.4,
Age characteristics,Average age of the population,,44.8,,49.7,,45.2,,39.5,,42.2,
Age characteristics,Median age of the population,,45.2,,54.4,,42.8,,38.4,,39.6,
Household and dwelling characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,,43160,,7805,,49225,,185670,,305335,
Household and dwelling characteristics,  Single-detached house,,22215,,4915,,6685,,60895,,44750,
Household and dwelling characteristics,  Semi-detached house,,2145,,100,,1150,,3795,,4800,
Household and dwelling characteristics,  Row house,,1970,,110,,2305,,30930,,10815,
Household and dwelling characteristics,  Apartment or flat in a duplex,,6040,,525,,4450,,42540,,54305,
