OTU,pval
t31,0.886296588694677
t51,0.390725267119706
t6,0.139084616443142
t55,0.990504243643954
t12,0.333916241768748
t85,0.306408708216622
t2,0.717266416409984
t73,0.707684159744531
t9,0.713776715332642
t48,0.813277210341766
t35,0.683387545170262
t7,0.840953997103497
t29,0.997328011212709
t59,0.999999995565446
t80,0.998252162577753
t41,0.999998132437438
t96,0.999996792024445
t46,0.639072095892233
t17,0.99983678650127
t93,0.00784958247095346
t32,0.446666409261525
t25,0.688175692921504
t13,0.670229824259877
t70,0.322905472712591
t78,0.756071172654629
t68,0.926220119930804
t10,0.28272825665772
t74,0.847001041052863
t8,0.506039076950401
t37,0.825350176077336
t22,0.13516616798006
t94,0.682817844673991
t77,0.760974273318425
t50,0.691905242856592
t3,0.948353380663321
t71,0.878519812831655
t18,0.985372744267806
t76,0.910038667032495
t92,0.615733312442899
t20,0.67935557779856
t81,0.0735995236318558
t72,0.857384656788781
t26,0.803825348149985
t66,0.610500215319917
t40,0.839971337001771
t98,0.83360621961765
t52,0.865921804914251
t89,0.894712497480214
t84,0.699800946051255
t47,0.690352568635717
t91,0.964543272973969
t14,0.719742223853245
t97,0.866261101327837
t38,0.844938030466437
t90,0.564468940254301
t42,0.286698437063023
t44,0.049695061519742
t95,0.780343379126862
t21,0.0541468788869679
t54,0.876528912223876
t11,0.2557227849029
t61,0.00540175498463214
t19,0.513864592416212
t43,0.748454298824072
t83,0.50303382682614
t23,0.0377771731000394
t5,0.872566601959988
t49,0.0856830903794617
t30,0.0918308545369655
t15,0.368257184047252
t28,0.497250177431852
t64,0.675613972591236
t88,0.643012922490016
t24,0.258399809477851
t33,0.0192134934477508
t79,0.560957948211581
t87,0.917841934366152
t65,0.765338738448918
t27,0.398102454142645
t58,0.62440062337555
t100,0.570556037127972
t56,0.567492602625862
t86,0.915015262318775
t60,0.568983629578725
t75,0.197597980732098
t4,0.242710964987054
t69,0.291160593274981
t36,0.656427297974005
t57,0.000127257031364804
t99,0.0337025709357661
t53,0.0068902603452198
t62,0.186789914413371
t39,0.69625870255928
t16,8.3406092528885e-08
t63,0.0654090956123286
t67,0.00667051204340987
t45,1.73191549726372e-06
t1,0.132014711829044
t34,0.680633949505677
t82,0.0271058703315816
