"ID";"class";"PE";"G";"PS";"TE"
1;1;-0.170314900016735;"Girl";0.885013272883954;1.48615282515864
2;1;1.41400975130173;"Boy";-0.127629105472088;1.48615282515864
3;1;-0.962477225675967;"Girl";0.161697288343924;1.48615282515864
4;1;-1.7546395513352;"Girl";-0.272292302380095;1.48615282515864
5;1;-0.170314900016735;"Girl";0.668018477521945;1.48615282515864
6;1;-0.962477225675967;"Boy";-0.272292302380095;1.48615282515864
7;1;-0.170314900016735;"Boy";0.595686879067942;1.48615282515864
8;1;-0.962477225675967;"Boy";-0.63395029465011;1.48615282515864
9;1;-0.170314900016735;"Boy";0.0893656898899207;1.48615282515864
10;1;-0.170314900016735;"Boy";-0.85094509001212;1.48615282515864
11;1;-0.170314900016735;"Girl";0.451023682159936;1.48615282515864
12;1;-0.170314900016735;"Girl";-0.199960703926092;1.48615282515864
13;1;-0.170314900016735;"Boy";-0.0552975070180856;1.48615282515864
14;1;-0.170314900016735;"Girl";0.30636048525193;1.48615282515864
15;1;-0.170314900016735;"Girl";0.668018477521945;1.48615282515864
16;1;0.621847425642498;"Girl";0.451023682159936;1.48615282515864
17;1;-0.962477225675967;"Boy";-1.35726627919014;1.48615282515864
18;1;-0.962477225675967;"Boy";-1.42959787764414;1.48615282515864
19;1;1.41400975130173;"Girl";1.10200806824596;1.48615282515864
20;1;-0.962477225675967;"Boy";-0.199960703926092;1.48615282515864
21;2;2.20617207696096;"Girl";0.957344871337958;-0.0401415418523901
22;2;-0.962477225675967;"Boy";-1.93591906682217;-0.0401415418523901
23;2;0.621847425642498;"Boy";-0.995608286920126;-0.0401415418523901
24;2;-0.170314900016735;"Girl";-0.489287097742104;-0.0401415418523901
25;2;-0.170314900016735;"Girl";-0.561618696196107;-0.0401415418523901
26;2;-0.170314900016735;"Boy";-0.778613491558117;-0.0401415418523901
27;2;-0.962477225675967;"Girl";-0.923276688466123;-0.0401415418523901
28;2;-0.170314900016735;"Boy";-0.63395029465011;-0.0401415418523901
29;2;0.621847425642498;"Girl";0.0170340914359172;-0.0401415418523901
30;2;-0.962477225675967;"Girl";-0.706281893104114;-0.0401415418523901
31;2;0.621847425642498;"Girl";-0.344623900834098;-0.0401415418523901
32;2;-0.962477225675967;"Boy";-0.127629105472088;-0.0401415418523901
33;2;-0.962477225675967;"Boy";-1.42959787764414;-0.0401415418523901
34;2;-1.7546395513352;"Boy";-1.35726627919014;-0.0401415418523901
35;2;0.621847425642498;"Boy";-0.489287097742104;-0.0401415418523901
36;2;-0.170314900016735;"Girl";-0.995608286920126;-0.0401415418523901
37;2;-0.170314900016735;"Girl";0.740350075975948;-0.0401415418523901
38;2;-1.7546395513352;"Girl";-1.14027148382813;-0.0401415418523901
39;2;-0.962477225675967;"Boy";-1.57426107455215;-0.0401415418523901
40;2;-0.170314900016735;"Boy";-1.28493468073614;-0.0401415418523901
41;3;-0.170314900016735;"Boy";-0.63395029465011;-0.192770978553493
42;3;-0.170314900016735;"Girl";0.668018477521945;-0.192770978553493
43;3;-0.962477225675967;"Girl";-0.344623900834098;-0.192770978553493
44;3;-0.962477225675967;"Girl";-0.127629105472088;-0.192770978553493
