"Program","xPONENT","","MAGPIX"
"Build","4.2.1705.0"
"Date","05/11/2022","4:45 PM"

"SN","MAGPX16145704"
"Batch","IgG_CovidOiseS4_30plex_plate3_20220511"
"Version","1"
"Operator","mph"
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","Covid_30plex_new"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleWash","Off"
"SampleVolume","65 uL"
"BatchStartTime","5/12/2022 12:44:32 PM"
"BatchStopTime","5/12/2022 1:46:38 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Current 96-well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","30"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 05/09/2022 12:07:47"
"Last VER Verification","Passed 05/09/2022 12:08:49"
"Last Fluidics Test","Passed 05/09/2022 12:10:09"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B83445","09/15/2022","5/9/2022 12:07:47 PM","26","26","26","26","163","205","310","310","0.00721","0.0071","0.00394","0.11668","Pass","MAGPX16145704"


"Samples","96","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Spike_6P","ME","HKU1_S","OC43_NP","OC43_S","HKU1_NP","229E_NP","Mumps_NP","RBD_B16171","NL63_NP","RBD_B16172","RBD_wuhan","NL63_S","229E_S","Spike_B16172","Spike_B117","Measles_NP","Ade5","NP","Spike_P1","Rub","Ade40","RBD_B117","Spike_B1351","FluA","RBD_B1351","RBD_P15","S2","Spike_omicron","RBD_omicron","Total Events"
"1(1,A1)","B","27","34.5","32","26","46","30","35","47","24","28","15.5","34","34","45","31","33","26","28","38","36","48","38","28.5","38","22","29","22","31","37","39","1723"
"2(1,A2)","S","13196.5","1130","4727","3545","3345","2261","1752.5","821","1575","3534.5","2253.5","5464","1477.5","4236","8516","10988.5","1371","15736","12846.5","11294","3513","4865","1789.5","8752","5856","1067","1478.5","2988.5","2831.5","1190","1584"
"3(1,A3)","S","9724","689","2648","2108","2002","1455","1265","451","1015.5","2563","1362","3622","821","2375.5","5961.5","8298","790.5","13019","11731.5","8224","2235","2749","1123","6059","3245.5","556","865","1980","1701","716","1669"
"4(1,A4)","S","6508","396","1523","1210","1213","879","881","234.5","463","2041","728","2157","455","1350","3434","5658","450","9952","8319.5","5343","1450","1685.5","614","3963","1905.5","295","430","1186.5","975.5","380","1843"
"5(1,A5)","S","4002","238","905.5","710","670","543","610.5","140","260","1433","398","1302","259","797","2112.5","3133","256","6729","5332","2918","952","980","338.5","2297","1032","154.5","229.5","691.5","559","208","1855"
"6(1,A6)","S","2208.5","143","488","400","384.5","339","399","94","141","889.5","205","759","149.5","441.5","1235.5","1886","142","4368","2945","1760","557","547","176","1381","572","94","126","367","299","133.5","1813"
"7(1,A7)","S","1338","92","287","234.5","231","204.5","232.5","69","83.5","564","110.5","420","98","251","722","1085","89.5","2346","1808","1017","345","309","107","879.5","328","63.5","77","203","190","86","1749"
"8(1,A8)","S","734","65","157.5","126.5","132","117","136.5","55","54","308","59","197","64","150.5","384.5","605","57","1266","960.5","546","208","182.5","66","455","170","46","48.5","116","107","61","1700"
"9(1,A9)","S","386","51","95","81","96.5","80","90","50","41","178","37","120","49","102","218.5","320","42","747","553.5","298","129","113","47","269","98","36","34","78","71","52","1737"
"10(1,A10)","S","208","45","68","58","68","55","66","50","33","110.5","28","78","42","74","125.5","182","37","401","283","164","92","80","41","158","65","33","28.5","54","56","48.5","1683"
