,D4_1,D4_2,D6_1,D6_2
ENSMUSG00000020892,0.249672292,0.551506375,0.615061763,0.511549065
ENSMUSG00000028354,0.349541209,0.401095546,0.563806616,0.613858879
ENSMUSG00000033768,0.374508438,0.350958603,0.640689337,0.562703972
ENSMUSG00000085271,0.449410125,0.225616244,0.384413602,0.869633411
ENSMUSG00000002668,0.467885875,0.304331245,0.563806616,0.593396916
ENSMUSG00000067006,0.399475667,0.250684716,0.358786029,0.920788318
ENSMUSG00000001508,0.399475667,0.250684716,0.820082351,0.460394159
ENSMUSG00000036218,0.29960675,0.300821659,0.512551469,0.818478505
ENSMUSG00000025229,0.249672292,0.350958603,0.717572057,0.613858879
ENSMUSG00000036924,0.349541209,0.200547773,0.563806616,0.818478505
ENSMUSG00000035964,0.149803375,0.451232489,0.717572057,0.613858879
ENSMUSG00000022652,0.149803375,0.300821659,0.820082351,0.665013785
ENSMUSG00000033063,0.29960675,0.100273886,0.820082351,0.716168692
ENSMUSG00000039481,0.149803375,0.250684716,0.871337498,0.665013785
ENSMUSG00000050114,0.524311813,0.526437904,0.32444508,0.562703972
ENSMUSG00000030249,0.410960592,0.053646529,0.741149425,0.73356136
ENSMUSG00000115067,0.507833442,0.476300961,0.478210521,0.477275278
ENSMUSG00000084590,0.432931754,0.534961184,0.512551469,0.460394159
ENSMUSG00000109215,0.099868917,0.050136943,0.768827204,1.023098131
ENSMUSG00000046589,0.449410125,0.701917205,0.256275735,0.537126519
ENSMUSG00000118199,0.52181509,0.574569369,0.341359279,0.507456673
ENSMUSG00000083107,0.449410125,0.476300961,0.486923896,0.537126519
ENSMUSG00000055341,0.549279042,0.501369432,0.461296322,0.437886
ENSMUSG00000117077,0.474377355,0.376027074,0.435668749,0.665013785
ENSMUSG00000078907,0.424442896,0.401095546,0.410041175,0.716168692
ENSMUSG00000072919,0.374508438,0.451232489,0.563806616,0.562703972
ENSMUSG00000045733,0.399475667,0.350958603,0.538179043,0.665013785
ENSMUSG00000094374,0.324573979,0.401095546,0.58943419,0.639436332
ENSMUSG00000118100,0.490855726,0.434687298,0.444382124,0.586235229
ENSMUSG00000113409,0.495849172,0.651780262,0.41157883,0.396962075
ENSMUSG00000029245,0.352037932,0.250684716,0.722697572,0.635855488
ENSMUSG00000065392,0.699082417,0.651780262,0.307530882,0.306929439
ENSMUSG00000047013,0.549279042,0.752054148,0.358786029,0.306929439
ENSMUSG00000112811,0.621684007,0.51239956,0.351610308,0.48187922
ENSMUSG00000102870,0.724049646,0.451232489,0.461296322,0.332506893
ENSMUSG00000018654,0.499344584,0.651780262,0.307530882,0.511549065
ENSMUSG00000026548,0.599213501,0.501369432,0.410041175,0.460394159
ENSMUSG00000000903,0.549279042,0.501369432,0.205020588,0.716168692
ENSMUSG00000057123,0.649147959,0.350958603,0.58943419,0.383661799
ENSMUSG00000062518,0.572248893,0.380539399,0.480773278,0.540195813
ENSMUSG00000103255,0.638162378,0.591114561,0.442844469,0.303348596
