,D0_1,D0_2,D2_1,D2_2
ENSMUSG00000007122,0.725971473,0.351196031,0.198402649,0.298829651
ENSMUSG00000064525,0.304407348,0.43498137,0.475174343,0.365070224
ENSMUSG00000106390,0.162717744,0.530807716,0.458806125,0.427326402
ENSMUSG00000109644,0.51719209,0.568435862,0.198402649,0.298829651
ENSMUSG00000103155,0.316924098,0.414411317,0.414165529,0.443762032
ENSMUSG00000098120,0.341957597,0.526794047,0.256435423,0.464680108
ENSMUSG00000047253,0,0.050170862,0.843211256,0.697269187
ENSMUSG00000000903,0.050066998,0.100341723,0.793610594,0.647464245
ENSMUSG00000100505,0.482645862,0.402872019,0.390357211,0.316261381
ENSMUSG00000060735,0.100133996,0.401366893,0.595207946,0.498049419
ENSMUSG00000081564,0.450602983,0.050170862,0.396805297,0.697269187
ENSMUSG00000114622,0.400535985,0.175598016,0.545607284,0.473146948
ENSMUSG00000077192,0.450602983,0.150512585,0.545607284,0.448244477
ENSMUSG00000043155,0.150200994,0.30102517,0.396805297,0.747074129
ENSMUSG00000092680,0.200267992,0.351196031,0.545607284,0.498049419
ENSMUSG00000021613,0.250334991,0.451537754,0.644808608,0.24902471
ENSMUSG00000050944,0.050066998,0.602050339,0.496006621,0.448244477
ENSMUSG00000021719,0.200267992,0.451537754,0.396805297,0.547854361
ENSMUSG00000054459,0.300401989,0.401366893,0.347204635,0.547854361
ENSMUSG00000086004,0.325435488,0.401366893,0.372004966,0.498049419
ENSMUSG00000002076,0.150200994,0.501708616,0.297603973,0.647464245
ENSMUSG00000086587,0.375502486,0.602050339,0.496006621,0.124512355
ENSMUSG00000035042,0.500669981,0.351196031,0.099201324,0.647464245
ENSMUSG00000020712,0.600803977,0.451537754,0.297603973,0.24902471
ENSMUSG00000086894,0.475636482,0.275939739,0.396805297,0.450734724
ENSMUSG00000030672,0.500669981,0.551879478,0.297603973,0.24902471
ENSMUSG00000031837,0.500669981,0.551879478,0.248003311,0.298829651
ENSMUSG00000110404,0.550736979,0.551879478,0.297603973,0.199219768
ENSMUSG00000052496,0.550736979,0.501708616,0.198402649,0.348634593
ENSMUSG00000117648,0.350468987,0.702392063,0.198402649,0.348634593
ENSMUSG00000021700,0.550736979,0.652221201,0.198402649,0.199219768
ENSMUSG00000094910,0.650870975,0.602050339,0.099201324,0.24902471
ENSMUSG00000027505,0.550736979,0.802733786,0.148801986,0.099609884
ENSMUSG00000039339,0.388019235,0.443008708,0.388373185,0.39445514
ENSMUSG00000058567,0.296396629,0.437991622,0.431525761,0.449738625
ENSMUSG00000092741,0.27536849,0.184127062,0.586775833,0.572756832
ENSMUSG00000094374,0.350468987,0.376281462,0.496006621,0.398439535
ENSMUSG00000073077,0.350468987,0.351196031,0.421605628,0.498049419
ENSMUSG00000007030,0.700937973,0.225768877,0.198402649,0.498049419
ENSMUSG00000092540,0.650870975,0.376281462,0.297603973,0.298829651
ENSMUSG00000097471,0.52570348,0.501708616,0.272803642,0.323732122
ENSMUSG00000116732,0.366991096,0.150512585,0.537175171,0.572756832
ENSMUSG00000062859,0.300401989,0.607067425,0.322404304,0.398439535
ENSMUSG00000084997,0.400535985,0.225768877,0.570407615,0.431808846
ENSMUSG00000085924,0.097630646,0.274936322,0.661176826,0.595169056
ENSMUSG00000051029,0.225301491,0.543350431,0.51237484,0.348634593
ENSMUSG00000114374,0.415556084,0.426452324,0.359604801,0.429816649
ENSMUSG00000045689,0.26285174,0.501708616,0.347204635,0.52295189
ENSMUSG00000110595,0.27536849,0.348687488,0.701849369,0.311280887
ENSMUSG00000098029,0.377004496,0.348687488,0.449381999,0.46268791
ENSMUSG00000096701,0.399033975,0.372267793,0.325380344,0.541379719
ENSMUSG00000067455,0.241823601,0.383807091,0.365060873,0.648958393
ENSMUSG00000061517,0,0,0.669608939,0.971196367
ENSMUSG00000032268,0,0.050170862,0.69440927,0.896488954
ENSMUSG00000022229,0.025033499,0.050170862,0.69440927,0.871586483
ENSMUSG00000056457,0.400535985,0.259383355,0.454838072,0.526936285
ENSMUSG00000037833,0.100133996,0.150512585,0.69440927,0.697269187
ENSMUSG00000024558,0.200267992,0.100341723,0.595207946,0.747074129
ENSMUSG00000096922,0.050066998,0.250854308,0.595207946,0.747074129
ENSMUSG00000110715,0.337952237,0.30102517,0.607608111,0.398439535
ENSMUSG00000055415,0.200267992,0.401366893,0.47120629,0.572756832
ENSMUSG00000117563,0.375502486,0.275939739,0.47120629,0.52295189
ENSMUSG00000021223,0.250334991,0.401366893,0.496006621,0.498049419
ENSMUSG00000098751,0.300401989,0.3261106,0.421605628,0.597659303
ENSMUSG00000000049,0.375502486,0.376281462,0.595207946,0.298829651
ENSMUSG00000004707,0.500669981,0.30102517,0.496006621,0.348634593
ENSMUSG00000059206,0.325435488,0.413909608,0.458806125,0.448244477
ENSMUSG00000045991,0.500669981,0.351196031,0.496006621,0.298829651
ENSMUSG00000064493,0.550736979,0.30102517,0.421605628,0.373537064
ENSMUSG00000065611,0.550736979,0.250854308,0.297603973,0.547854361
ENSMUSG00000041923,0.600803977,0.30102517,0.396805297,0.348634593
ENSMUSG00000031125,0.425569484,0.384810509,0.322404304,0.51448505
ENSMUSG00000107686,0.450602983,0.476623185,0.446405959,0.27392718
ENSMUSG00000021087,0.901205966,0.250854308,0.347204635,0.149414826
ENSMUSG00000035875,0.650870975,0.501708616,0.347204635,0.149414826
ENSMUSG00000031027,0.550736979,0.677306632,0.248003311,0.174317297
ENSMUSG00000031258,0.453106333,0.501708616,0.396805297,0.298829651
ENSMUSG00000022227,0.851138968,0.501708616,0.297603973,0
ENSMUSG00000085143,0.550736979,0.602050339,0.049600662,0.448244477
ENSMUSG00000027202,0.700937973,0.501708616,0.049600662,0.398439535
ENSMUSG00000031896,0.450602983,0.802733786,0.099201324,0.298829651
ENSMUSG00000024409,0.500669981,0.802733786,0.148801986,0.199219768
ENSMUSG00000081778,0.100133996,0.263397023,0.537175171,0.751058524
ENSMUSG00000025892,0.300401989,0.454046298,0.347204635,0.550344608
ENSMUSG00000049173,0.650870975,0.802733786,0.148801986,0.049804942
ENSMUSG00000081969,0.443092933,0.45304288,0.376469026,0.380509756
ENSMUSG00000036641,0.156209034,0.255369686,0.446405959,0.796879071
ENSMUSG00000073733,0.300401989,0.752562924,0.297603973,0.304308195
ENSMUSG00000091157,0.150200994,0.213226162,0.644808608,0.647464245
ENSMUSG00000103147,0.409047375,0.551879478,0.347204635,0.348634593
ENSMUSG00000039193,1.103977308,0.303533713,0.101681357,0.149414826
ENSMUSG00000001930,0.700937973,0.353704574,0.253459384,0.352120939
ENSMUSG00000110313,0.357478366,0.443008708,0.396805297,0.464680108
ENSMUSG00000096169,0.166723104,0.518265,0.644808608,0.332198963
ENSMUSG00000069265,0.126168835,0.178608267,0.643816595,0.715198966
ENSMUSG00000107772,0.2668571,0.437991622,0.403253383,0.556321201
ENSMUSG00000034336,0.100133996,0.250854308,0.669608939,0.647464245
ENSMUSG00000030206,0.100133996,0.275939739,0.520806952,0.7719766
ENSMUSG00000070167,0.400535985,0.100341723,0.372004966,0.796879071
ENSMUSG00000104892,0.425569484,0.225768877,0.496006621,0.52295189
ENSMUSG00000099047,0.52570348,0.175598016,0.47120629,0.498049419
ENSMUSG00000055341,0.550736979,0.225768877,0.520806952,0.373537064
ENSMUSG00000039716,0.400535985,0.376281462,0.396805297,0.498049419
ENSMUSG00000098068,0.375001816,0.497193239,0.417141569,0.383498053
ENSMUSG00000065280,0.600803977,0.401366893,0.347204635,0.323732122
ENSMUSG00000056130,0.628340826,0.376281462,0.272803642,0.398439535
ENSMUSG00000079410,0.425068814,0.524787212,0.422597641,0.307296492
ENSMUSG00000065735,0.609315367,0.334639647,0.372004966,0.365070224
ENSMUSG00000079243,0.050066998,0.200683446,1.140815229,0.298829651
ENSMUSG00000051726,0.050066998,0.150512585,0.843211256,0.647464245
ENSMUSG00000074006,0.250334991,0.100341723,0.644808608,0.697269187
ENSMUSG00000060678,0.291890599,0.375779753,0.520310946,0.50601821
ENSMUSG00000093246,0.475636482,0.150512585,0.570407615,0.498049419
ENSMUSG00000049928,0.27536849,0.3261106,0.520806952,0.572756832
ENSMUSG00000042258,0.350468987,0.30102517,0.396805297,0.647464245
ENSMUSG00000041620,0.375502486,0.401366893,0.545607284,0.373537064
ENSMUSG00000098863,0.375502486,0.426452324,0.47120629,0.423342006
ENSMUSG00000026610,0.450602983,0.451537754,0.396805297,0.398439535
ENSMUSG00000040554,0.450602983,0.501708616,0.297603973,0.448244477
ENSMUSG00000036353,0.700937973,0.351196031,0.248003311,0.398439535
ENSMUSG00000009876,0.550736979,0.501708616,0.297603973,0.348634593
ENSMUSG00000020701,0.700937973,0.401366893,0.248003311,0.348634593
ENSMUSG00000089976,0.475135812,0.354707992,0.39779731,0.4716528
ENSMUSG00000079652,0.350468987,0.752562924,0.248003311,0.348634593
ENSMUSG00000052544,0.202771342,0.250854308,0.349684668,0.896488954
ENSMUSG00000027398,1.151540956,0.200683446,0.198402649,0.149414826
ENSMUSG00000085112,0.350468987,0.852904647,0.248003311,0.24902471
ENSMUSG00000112041,0.700937973,0.602050339,0.248003311,0.149414826
ENSMUSG00000052821,0.700937973,0.551879478,0.099201324,0.348634593
ENSMUSG00000051124,0.901205966,0.451537754,0.148801986,0.199219768
ENSMUSG00000029797,0.851138968,0.501708616,0.148801986,0.199219768
ENSMUSG00000024109,0.202771342,0.250854308,0.58280778,0.672366716
ENSMUSG00000092167,0.703441323,0.496189821,0.189970536,0.323234073
ENSMUSG00000096141,0.567259089,0.351196031,0.586775833,0.207686608
ENSMUSG00000024365,0.025033499,0,0.669608939,1.021001309
ENSMUSG00000032750,0.550736979,0.752562924,0.052080695,0.365070224
ENSMUSG00000089900,0.300401989,0.426452324,0.520806952,0.473146948
ENSMUSG00000096920,0.359481046,0.507729119,0.470214277,0.384992201
ENSMUSG00000085316,0.425569484,0.501708616,0.347204635,0.448244477
ENSMUSG00000033966,0.650870975,0.476623185,0.347204635,0.24902471
ENSMUSG00000032589,0.350468987,0.155529671,0.496006621,0.722171658
ENSMUSG00000089929,0.333946877,0.693863016,0.332324436,0.369552669
ENSMUSG00000047415,0.600803977,0.579473452,0.322404304,0.229102733
ENSMUSG00000084127,0.370996456,0.408892522,0.58280778,0.373039015
ENSMUSG00000083707,0.365489086,0.387319052,0.522294972,0.466174256
ENSMUSG00000101896,0.501671321,0.281960242,0.583799793,0.374035114
ENSMUSG00000032380,0.150200994,0.200683446,0.644808608,0.747074129
ENSMUSG00000039717,0.175234493,0.30102517,0.744009932,0.52295189
ENSMUSG00000031994,0.150200994,0.250854308,0.620008277,0.722171658
ENSMUSG00000049939,0.300401989,0.200683446,0.69440927,0.547854361
ENSMUSG00000037169,0.250334991,0.250854308,0.69440927,0.547854361
ENSMUSG00000028976,0.400535985,0.30102517,0.545607284,0.498049419
ENSMUSG00000045165,0.400535985,0.30102517,0.496006621,0.547854361
ENSMUSG00000093358,0.350468987,0.376281462,0.520806952,0.498049419
ENSMUSG00000047591,0.450602983,0.30102517,0.496006621,0.498049419
ENSMUSG00000026023,0.550736979,0.351196031,0.69440927,0.149414826
ENSMUSG00000086359,0.675904474,0.275939739,0.496006621,0.298829651
ENSMUSG00000111759,0.450602983,0.401366893,0.396805297,0.498049419
ENSMUSG00000112850,0.450602983,0.526794047,0.496006621,0.27392718
ENSMUSG00000030247,0.600803977,0.401366893,0.396805297,0.348634593
ENSMUSG00000022658,0.450602983,0.602050339,0.545607284,0.149414826
ENSMUSG00000026205,0.450602983,0.551879478,0.396805297,0.348634593
ENSMUSG00000020542,0.500669981,0.501708616,0.347204635,0.398439535
ENSMUSG00000067199,0.500669981,0.401366893,0.148801986,0.697269187
ENSMUSG00000021590,0.550736979,0.602050339,0.347204635,0.24902471
