Injection,File Text,Sample_Notes,MS method,LC method,Vial_Position,Injection volume,Sample_Code
200826_blank1_r1,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:16,10,Blank
200826_blank1_r2,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:16,10,Blank
200826_blank1_r3,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:16,10,Blank
200826_media1_r1,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:01,10,MB1109
200826_media1_r2,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:01,10,MB1109
200826_media1_r3,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:01,10,MB1109
200826_blank3,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:16,10,Blank
200826_media2_r1,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:02,10,MB1110
200826_media2_r2,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:02,10,MB1110
200826_media2_r3,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:02,10,MB1110
200826_blank4,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:16,10,Blank
200826_media3_r1,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:03,10,MB1111
200826_media3_r2,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:03,10,MB1111
200826_media3_r3,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:03,10,MB1111
200826_blank5,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:16,10,Blank
200826_PTY087I2_0umce1_r1,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:04,10,MB1112
200826_PTY087I2_0umce1_r2,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:04,10,MB1112
200826_PTY087I2_0umce1_r3,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:04,10,MB1112
200826_blank6,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:16,10,Blank
200826_PTY087I2_0umce2_r1,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:05,10,MB1113
200826_PTY087I2_0umce2_r2,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:05,10,MB1113
200826_PTY087I2_0umce2_r3,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:05,10,MB1113
200826_blank7,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:16,10,Blank
200826_PTY087I2_0umce3_r1,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:06,10,MB1114
200826_PTY087I2_0umce3_r2,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:06,10,MB1114
200826_PTY087I2_0umce3_r3,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:06,10,MB1114
200826_blank8,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:16,10,Blank
200826_PTY087I2_250umce1_r1,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:07,10,MB1115
200826_PTY087I2_250umce1_r2,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:07,10,MB1115
200826_PTY087I2_250umce1_r3,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:07,10,MB1115
200826_blank9,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:16,10,Blank
200826_PTY087I2_250umce2_r1,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:08,10,MB1116
200826_PTY087I2_250umce2_r2,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:08,10,MB1116
200826_PTY087I2_250umce2_r3,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:08,10,MB1116
200826_blank10,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:16,10,Blank
200826_PTY087I2_250umce3_r1,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:09,10,MB1117
200826_PTY087I2_250umce3_r2,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:09,10,MB1117
200826_PTY087I2_250umce3_r3,,,RMS20181105_Balunas_11min_mse,jlb20170623_Balunas_11minRogermethod_450uLmin_5to98_col3_noPDA,1:09,10,MB1117
