NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Compound,m/z,Retention time (min),102623_UM1848B_JC1_69_1_5004,102623_UM1846B_Media_67_1_5005,102623_UM1847B_JC28_68_1_5006,102623_UM1850B_ANGDT_71_1_5007,102623_UM1849B_ANG18_70_1_5008,102623_UM1852B_Coculture_72_1_5009,102623_MixedMonoculture_84_1_5015,102623_UM1848B_JC1_69_1_5017,102623_UM1846B_Media_67_1_5018,102623_UM1847B_JC28_68_1_5019,102623_UM1850B_ANGDT_71_1_5020,102623_UM1849B_ANG18_70_1_5021,102623_UM1852B_Coculture_72_1_5022,102623_MixedMonoculture_84_1_5028,102623_UM1848B_JC1_69_1_5030,102623_UM1846B_Media_67_1_5031,102623_UM1847B_JC28_68_1_5032,102623_UM1850B_ANGDT_71_1_5033,102623_UM1849B_ANG18_70_1_5034,102623_UM1852B_Coculture_72_1_5035,102623_MixedMonoculture_84_1_5041,102423_Blank_77_1_5095,102423_Blank_77_2_5096,102423_Blank_77_3_5097
1,256.08831,0.774833333,0,0,5358.26,4131.4,3398.08,5464.43,3299.94,0,2168.71,5505.94,3762.47,3424.76,4890.84,2870.98,0,2033.65,5522.76,3446.13,3621.36,5051.84,3028.24,0,0,0
2,484.29214,0.775666667,546.56,16389.28,0,0,0,0,0,0,20194.55,0,0,0,0,0,0,18650.07,0,0,0,0,399.02,0,0,0
3,445.22763,0.778666667,0,22515.28,0,0,1641.7,0,0,0,19457.7,0,0,0,0,651.95,0,19542.19,0,0,0,0,664.81,0,0,0
4,354.18421,0.778666667,0,6086.35,0,0,0,0,0,0,5966.08,0,0,0,0,0,0,6755.31,0,0,0,0,0,0,0,0
5,353.19945,0.781666667,0,5923.96,0,0,0,0,0,0,5674.1,0,0,0,0,0,0,5971.36,0,0,0,0,0,0,0,0
6,448.2945,0.784666667,998.59,11017.77,0,0,0,0,433.25,861.54,9160.84,0,0,0,0,0,859.09,10261.6,0,0,0,0,451.16,0,0,0
7,674.30975,0.785833333,0,0,9536.8,46174.57,0,29240.78,11936.98,0,0,9722.09,43907.88,0,28214.9,10968.58,0,0,9925.19,44787.94,0,26770.03,14940.82,0,0,0
8,453.28745,0.785833333,10257,1910.46,0,0,1661.38,0,3182.4,8448.96,1701.56,0,0,1683.97,0,3414.26,9656.06,1787.94,0,0,1612.11,0,3602.53,0,0,0
