ID,FWS,SWS.HS,FL.Yellow.HS,FL.Orange.HS,FL.Red.HS,SWS.LS,FL.Yellow.LS,FL.Red.LS,Curvature,X
0,0.9155554,1.678518,2.136296,1.068148,1.983703,0.6103702,0.4577777,0.7629628,0,NA
0,0.9155554,1.678518,1.831111,0.9155554,2.136296,0.7629628,0.4577777,0.6103702,0,NA
0,0.9155554,1.525926,1.22074,0.9155554,2.594074,0.7629628,0.4577777,0.6103702,0,NA
0,0.9155554,1.373333,0.9155554,0.9155554,2.899259,0.6103702,0.4577777,0.4577777,0,NA
0,0.9155554,1.373333,0.7629628,0.9155554,3.051851,0.7629628,0.4577777,0.4577777,0,NA
0,0.9155554,1.22074,0.7629628,0.7629628,3.204444,0.7629628,0.4577777,0.4577777,0,NA
0,0.9155554,1.22074,0.9155554,0.7629628,3.509629,0.6103702,0.4577777,0.6103702,0,NA
0,0.9155554,1.22074,1.22074,0.7629628,3.967407,0.6103702,0.4577777,0.7629628,0,NA
0,0.9155554,1.373333,1.525926,0.6103702,4.272592,0.6103702,0.4577777,0.7629628,0,NA
0,0.9155554,1.525926,1.831111,0.4577777,4.425184,0.6103702,0.6103702,0.7629628,0,NA
0,0.9155554,1.525926,2.136296,0.4577777,4.272592,0.7629628,0.6103702,0.7629628,0,NA
0,0.9155554,1.525926,2.594074,0.4577777,3.662221,0.7629628,0.7629628,0.6103702,0,NA
0,0.9155554,1.373333,3.051851,0.4577777,3.051851,0.7629628,0.9155554,0.6103702,0,NA
0,0.9155554,1.068148,3.051851,0.4577777,2.441481,0.7629628,0.9155554,0.6103702,0,NA
0,0.9155554,0.7629628,2.899259,0.4577777,1.983703,0.7629628,0.7629628,0.6103702,0,NA
0,0.9155554,0.6103702,2.594074,0.4577777,1.831111,0.7629628,0.6103702,0.6103702,0,NA
0,0.9155554,0.6103702,2.441481,0.6103702,1.678518,0.6103702,0.4577777,0.6103702,0,NA
0,0.9155554,0.6103702,2.288888,0.7629628,1.525926,0.6103702,0.4577777,0.4577777,0,NA
0,0.9155554,0.7629628,2.136296,0.9155554,1.373333,0.6103702,0.4577777,0.4577777,0,NA
0,0.9155554,0.9155554,2.136296,1.068148,1.373333,0.6103702,0.4577777,0.4577777,0,NA
0,0,0,0,0,0,0,0,0,0,NA
0,0,0,0,0,0,0,0,0,0,NA
1,0.9155554,1.373333,1.373333,1.831111,2.746666,0.4577777,0.4577777,0.4577777,0,NA
1,0.9155554,1.373333,1.22074,1.831111,2.746666,0.4577777,0.4577777,0.4577777,0,NA
1,0.9155554,1.373333,1.373333,1.831111,3.051851,0.4577777,0.4577777,0.4577777,0,NA
1,0.9155554,1.525926,1.525926,1.983703,3.357036,0.4577777,0.4577777,0.4577777,0,NA
1,0.9155554,1.525926,1.831111,2.136296,3.967407,0.4577777,0.4577777,0.4577777,0,NA
1,0.9155554,1.678518,1.983703,2.441481,4.272592,0.4577777,0.4577777,0.4577777,0,NA
1,0.9155554,1.678518,1.983703,2.136296,4.577776,0.4577777,0.4577777,0.4577777,0,NA
1,0.9155554,1.525926,1.831111,1.831111,4.882962,0.4577777,0.4577777,0.4577777,0,NA
1,0.9155554,1.373333,1.525926,1.525926,4.882962,0.4577777,0.4577777,0.4577777,0,NA
1,0.9155554,1.068148,1.22074,1.22074,4.730369,0.4577777,0.4577777,0.4577777,0,NA
1,0.9155554,0.9155554,1.525926,1.068148,4.272592,0.4577777,0.4577777,0.4577777,0,NA
