[ECIS_Parameters]
Filename , C:\Users\jhuc964\Desktop\ECIS R\vascr\inst\extdata\instruments\ecis_TimeResample.abp
Version , 1.2.163.0 PC
FileType , RBA
ExportVersion , 1.2.252.0 PC
Instrument , Z-Theta
SerialNum , 1296
WellNum , 96
Date , 2020-07-23, 16:54:44
DateNum , 737995
TimeNum , 60884
ExptType , MFT
ArrayHolderA , 96W20idf
MiniArrayFormat , 0
TimeInterval , 3600
Wells , 1,  2,  3, 13, 14, 15
Frequency , 250, 500, 1000, 2000, 4000, 8000, 16000, 32000, 64000, 

[Headings]
Time (hrs), Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, 
Well ID, A01, A01, A01, A01, A01,B01, B01, B01, B01, B01,C01, C01, C01, C01, C01,E02, E02, E02, E02, E02,F02, F02, F02, F02, F02,G02, G02, G02, G02, G02,

[Data]
0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.63,21.41,7.70,0.00,0.01,0.56,28.80,8.67,0.00,0.00,0.00,1000.00,12.53,0.02,0.00,0.00,1000.00,12.36,0.02,0.00,0.00,1000.00,9.48,0.03
1.00,1.80,6.23,1.34,17.48,0.02,1.89,6.22,1.29,22.24,0.02,1.87,6.22,1.31,22.75,0.02,0.00,5.58,10.90,27.09,0.02,0.00,5.63,10.60,26.67,0.02,0.00,5.36,12.06,25.79,0.02
2.00,2.33,6.37,0.94,20.11,0.02,2.44,6.51,0.91,23.57,0.02,2.41,6.51,0.93,23.94,0.02,0.00,6.67,3.46,27.30,0.02,0.00,6.75,2.99,27.12,0.02,0.00,6.48,3.68,26.28,0.03
3.00,2.28,6.06,0.87,21.34,0.01,2.46,6.27,0.84,24.27,0.02,2.43,6.23,0.85,24.54,0.02,0.00,6.45,2.28,27.61,0.02,0.00,6.40,1.96,27.48,0.02,0.00,6.22,2.35,26.69,0.02
4.00,2.26,5.90,0.88,22.01,0.01,2.44,6.19,0.85,24.53,0.02,2.43,6.08,0.85,24.88,0.02,0.00,6.07,2.08,27.77,0.02,0.00,6.20,1.57,27.44,0.01,0.00,6.02,1.83,27.01,0.02
5.00,2.41,5.79,0.88,22.38,0.01,2.58,6.07,0.86,24.62,0.02,2.50,5.95,0.86,24.96,0.02,0.00,6.17,1.57,27.72,0.01,0.00,6.14,1.31,27.42,0.01,0.00,5.92,1.50,27.19,0.01
6.00,2.35,5.65,0.90,22.65,0.01,2.52,5.91,0.88,24.72,0.02,2.53,5.88,0.88,24.94,0.02,0.01,6.12,1.22,27.68,0.01,0.03,5.99,1.18,27.35,0.01,0.02,5.87,1.26,27.21,0.01
7.00,2.44,5.46,0.91,22.84,0.01,2.51,5.77,0.90,24.77,0.02,2.62,5.73,0.90,25.00,0.02,0.22,5.92,1.24,27.60,0.01,0.16,5.93,1.16,27.25,0.01,0.23,5.72,1.22,27.27,0.01
8.00,2.44,5.36,0.93,22.97,0.01,2.54,5.66,0.92,24.77,0.02,2.61,5.57,0.92,25.04,0.02,0.36,5.77,1.20,27.70,0.01,0.28,5.76,1.17,27.26,0.01,0.34,5.65,1.24,27.13,0.01
9.00,2.45,5.27,0.94,23.05,0.01,2.63,5.52,0.92,24.75,0.02,2.61,5.49,0.92,25.02,0.02,0.44,5.74,1.12,27.60,0.01,0.37,5.67,1.15,27.21,0.01,0.40,5.59,1.13,27.08,0.01
