EPT.RICH	PCT.FN	WGT.1X
1	83.63636364	1944.031
11	5.454545455	3402.0545
12	14.54545455	6804.109
23	1.818181818	1628.877
2	18.18181818	1134.018
1	30.90909091	6804.109
1	21.81818182	814.4385
2	70.90909091	3402.0545
5	25.45454546	1628.877
2	45.45454546	1628.877
19	25.45454546	6804.109
19	3.773584906	814.4385
24	1.818181818	407.219
6	12.72727273	1944.031
9	10.90909091	1628.877
11	23.63636364	972.0155
15	0	1628.877
17	10.90909091	3402.0545
3	10.90909091	814.4385
4	18.18181818	1628.877
6	25.45454546	972.0155
11	3.636363636	972.0155
13	1.818181818	3402.0545
2	30.90909091	814.4385
20	5.714285714	3402.0545
9	20	1628.877
10	16.36363636	3402.0545
11	1.818181818	1628.877
8	14.81481482	6804.109
10	41.81818182	407.219
14	16.36363636	407.219
19	0	972.0155
22	1.818181818	567.009
12	3.703703704	814.4385
22	7.272727273	3402.0545
10	32.72727273	972.0155
11	10.90909091	1628.877
17	12.72727273	407.219
10	40	1628.877
21	5.454545455	972.0155
7	22.91666667	407.219
16	1.818181818	972.0155
21	0	814.4385
3	10.90909091	1944.031
6	29.09090909	814.4385
21	7.272727273	567.009
14	0	3402.0545
2	0	1628.877
16	0	814.4385
14	0	972.0155
17	0	1628.877
10	0	407.219
3	3.703703704	567.009
4	50.90909091	6804.109
21	21.81818182	567.009
24	0	814.4385
1	16.36363636	1134.018
9	47.27272727	1134.018
5	14.54545455	1628.877
11	14.54545455	1134.018
15	27.27272727	1134.018
8	16.36363636	1628.877
5	18.18181818	6804.109
1	23.63636364	6804.109
15	1.818181818	407.219
9	25.45454546	1134.018
16	0	1628.877
17	10.90909091	6804.109
7	3.636363636	407.219
5	1.818181818	3402.0545
16	21.81818182	972.0155
7	38	3402.0545
7	16.36363636	1628.877
11	9.259259259	1628.877
21	10.90909091	814.4385
8	29.09090909	1628.877
12	0	1628.877
6	49.09090909	3402.0545
24	0	3402.0545
18	1.818181818	972.0155
13	0	972.0155
3	100	407.219
10	1.818181818	1628.877
7	37.73584906	814.4385
0	23.63636364	407.219
14	9.090909091	567.009
15	45.45454546	1628.877
15	0	1628.877
29	5.454545455	1628.877
23	1.818181818	3402.0545
20	7.272727273	972.0155
11	1.818181818	814.4385
3	12.72727273	407.219
15	10.90909091	1628.877
15	1.818181818	1628.877
10	0	972.0155
13	0	567.009
16	0	407.219
16	10.90909091	567.009
