1 	Position combination: 	 3 	 4 	were in	 1 	sequences  together	 	with p-value of	 1 	 0 	 1 	 3 	 10 
2 	Position combination: 	 3 	 16 	were in	 2 	sequences  together	 	with p-value of	 0.03296703 	 2 	 0 	 1 	 11 
3 	Position combination: 	 3 	 23 	were in	 2 	sequences  together	 	with p-value of	 0.03296703 	 2 	 0 	 1 	 11 
4 	Position combination: 	 3 	 27 	were in	 7 	sequences  together	 	with p-value of	 0.1923077 	 3 	 4 	 0 	 7 
5 	Position combination: 	 3 	 28 	were in	 2 	sequences  together	 	with p-value of	 0.03296703 	 2 	 0 	 1 	 11 
6 	Position combination: 	 3 	 37 	were in	 2 	sequences  together	 	with p-value of	 0.03296703 	 2 	 0 	 1 	 11 
7 	Position combination: 	 4 	 16 	were in	 1 	sequences  together	 	with p-value of	 1 	 0 	 1 	 3 	 10 
8 	Position combination: 	 4 	 23 	were in	 2 	sequences  together	 	with p-value of	 1 	 0 	 2 	 3 	 9 
9 	Position combination: 	 4 	 27 	were in	 1 	sequences  together	 	with p-value of	 1 	 0 	 1 	 3 	 10 
10 	Position combination: 	 4 	 28 	were in	 2 	sequences  together	 	with p-value of	 1 	 0 	 2 	 3 	 9 
11 	Position combination: 	 4 	 37 	were in	 0 	sequences  together	 	with p-value of	 F 	 F 	 F 	 F 	 F 
12 	Position combination: 	 16 	 23 	were in	 2 	sequences  together	 	with p-value of	 0.03296703 	 2 	 0 	 1 	 11 
13 	Position combination: 	 16 	 27 	were in	 2 	sequences  together	 	with p-value of	 0.03296703 	 2 	 0 	 1 	 11 
14 	Position combination: 	 16 	 28 	were in	 1 	sequences  together	 	with p-value of	 0.2142857 	 1 	 0 	 2 	 11 
15 	Position combination: 	 16 	 37 	were in	 2 	sequences  together	 	with p-value of	 0.03296703 	 2 	 0 	 1 	 11 
16 	Position combination: 	 23 	 27 	were in	 2 	sequences  together	 	with p-value of	 0.03296703 	 2 	 0 	 1 	 11 
17 	Position combination: 	 23 	 28 	were in	 2 	sequences  together	 	with p-value of	 0.3956044 	 1 	 1 	 2 	 10 
18 	Position combination: 	 23 	 37 	were in	 2 	sequences  together	 	with p-value of	 0.03296703 	 2 	 0 	 1 	 11 
19 	Position combination: 	 27 	 28 	were in	 2 	sequences  together	 	with p-value of	 0.03296703 	 2 	 0 	 1 	 11 
20 	Position combination: 	 27 	 37 	were in	 2 	sequences  together	 	with p-value of	 0.03296703 	 2 	 0 	 1 	 11 
21 	Position combination: 	 28 	 37 	were in	 1 	sequences  together	 	with p-value of	 0.2142857 	 1 	 0 	 2 	 11 
