21/08/2018/07:55 SW ver:OXY4v2_30
Header Ch-4
Description:
IDENTIFICATION
PHIboard number   : v1231165
PM number         : 00000000
Serial number     : S DLD 0001 000067
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 077
Ref LED amplitude : 46447
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 56.00 at 020.0�C amp 062800
100.00%a.s.phase 2: 27.00 at 020.0�C amp 063500
Date   (ddmmyy)   : 231112
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/�;Amp;Temp/�C;Error
21/08/2018;07:55:07;0;101.86;30.3;NA;24.52;0
21/08/2018;07:55:08;0.02;101.84;30.32;NA;24.51;0
21/08/2018;07:55:09;0.03;101.67;30.32;NA;24.52;0
21/08/2018;07:55:10;0.05;101.63;30.34;NA;24.5;0
21/08/2018;07:55:11;0.06;101.46;30.34;NA;24.51;0
21/08/2018;07:55:12;0.08;101.46;30.34;NA;24.51;0
21/08/2018;07:55:13;0.1;101.48;30.34;NA;24.52;0
21/08/2018;07:55:14;0.12;101.84;30.32;NA;24.51;0
21/08/2018;07:55:15;0.14;101.67;30.32;NA;24.52;0
21/08/2018;07:55:16;0.16;101.67;30.32;NA;24.52;0
21/08/2018;07:55:17;0.19;101.46;30.34;NA;24.51;0
21/08/2018;07:55:18;0.21;101.48;30.34;NA;24.52;0
21/08/2018;07:55:19;0.23;101.84;30.32;NA;24.51;0
21/08/2018;07:55:20;0.24;101.44;30.34;NA;24.5;0
21/08/2018;07:55:21;0.26;101.63;30.34;NA;24.5;0
21/08/2018;07:55:22;0.28;101.46;30.34;NA;24.51;0
21/08/2018;07:55:23;0.29;101.67;30.32;NA;24.52;0
21/08/2018;07:55:24;0.31;101.84;30.31;NA;24.51;0
21/08/2018;07:55:25;0.32;101.46;30.35;NA;24.51;0
21/08/2018;07:55:26;0.34;101.65;30.33;NA;24.51;0
21/08/2018;07:55:27;0.36;101.65;30.32;NA;24.51;0
21/08/2018;07:55:28;0.38;101.63;30.33;NA;24.5;0
21/08/2018;07:55:29;0.4;101.65;30.33;NA;24.51;0
21/08/2018;07:55:30;0.41;101.79;30.33;NA;24.49;0
21/08/2018;07:55:31;0.43;101.84;30.31;NA;24.51;0
21/08/2018;07:55:32;0.44;101.67;30.33;NA;24.52;0
21/08/2018;07:55:33;0.46;101.5;30.34;NA;24.53;0
21/08/2018;07:55:34;0.47;101.5;30.33;NA;24.53;0
21/08/2018;07:55:35;0.49;101.86;30.31;NA;24.52;0
21/08/2018;07:55:36;0.5;101.84;30.31;NA;24.51;0
21/08/2018;07:55:37;0.52;101.27;30.37;NA;24.51;0
21/08/2018;07:55:38;0.53;101.65;30.33;NA;24.51;0
21/08/2018;07:55:39;0.55;102.05;30.29;NA;24.52;0
21/08/2018;07:55:40;0.56;101.5;30.34;NA;24.53;0
21/08/2018;07:55:41;0.58;101.31;30.35;NA;24.53;0
21/08/2018;07:55:42;0.59;101.08;30.37;NA;24.51;0
21/08/2018;07:55:43;0.61;101.5;30.34;NA;24.53;0
21/08/2018;07:55:44;0.63;101.5;30.35;NA;24.53;0
21/08/2018;07:55:45;0.65;101.48;30.35;NA;24.52;0
21/08/2018;07:55:46;0.66;101.63;30.34;NA;24.5;0
21/08/2018;07:55:47;0.68;101.1;30.38;NA;24.52;0
21/08/2018;07:55:48;0.69;101.31;30.35;NA;24.53;0
21/08/2018;07:55:49;0.71;101.15;30.36;NA;24.54;0
21/08/2018;07:55:50;0.72;101.1;30.38;NA;24.52;0
21/08/2018;07:55:51;0.74;101.48;30.34;NA;24.52;0
21/08/2018;07:55:52;0.76;101.1;30.37;NA;24.52;0
21/08/2018;07:55:53;0.77;100.96;30.39;NA;24.54;0
21/08/2018;07:55:54;0.79;101.48;30.34;NA;24.52;0
21/08/2018;07:55:55;0.8;101.08;30.37;NA;24.51;0
21/08/2018;07:55:56;0.82;100.92;30.39;NA;24.52;0
21/08/2018;07:55:57;0.83;101.17;30.37;NA;24.55;0
21/08/2018;07:55:58;0.85;100.75;30.41;NA;24.53;0
21/08/2018;07:55:59;0.86;100.92;30.39;NA;24.52;0
21/08/2018;07:56:00;0.89;100.71;30.41;NA;24.51;0
21/08/2018;07:56:01;0.9;100.54;30.42;NA;24.52;0
21/08/2018;07:56:02;0.92;100.94;30.4;NA;24.53;0
21/08/2018;07:56:03;0.94;100.71;30.41;NA;24.51;0
21/08/2018;07:56:04;0.96;100.35;30.44;NA;24.52;0
21/08/2018;07:56:05;0.97;100.54;30.42;NA;24.52;0
21/08/2018;07:56:06;0.99;100.56;30.43;NA;24.53;0
21/08/2018;07:56:07;1;99.95;30.47;NA;24.51;0
21/08/2018;07:56:08;1.02;100.14;30.46;NA;24.51;0
21/08/2018;07:56:09;1.03;100;30.47;NA;24.53;0
21/08/2018;07:56:10;1.05;99.95;30.49;NA;24.51;0
21/08/2018;07:56:11;1.06;99.6;30.51;NA;24.52;0
21/08/2018;07:56:12;1.08;99.22;30.54;NA;24.52;0
21/08/2018;07:56:13;1.1;99.79;30.49;NA;24.52;0
21/08/2018;07:56:14;1.12;99.62;30.5;NA;24.53;0
21/08/2018;07:56:15;1.14;99.41;30.53;NA;24.52;0
21/08/2018;07:56:16;1.16;99.83;30.49;NA;24.54;0
21/08/2018;07:56:17;1.19;99.77;30.5;NA;24.51;0
21/08/2018;07:56:18;1.21;99.58;30.51;NA;24.51;0
21/08/2018;07:56:19;1.23;99.58;30.52;NA;24.51;0
21/08/2018;07:56:20;1.24;99.01;30.57;NA;24.51;0
21/08/2018;07:56:21;1.26;98.85;30.58;NA;24.52;0
21/08/2018;07:56:22;1.28;99.03;30.57;NA;24.52;0
21/08/2018;07:56:23;1.29;99.18;30.55;NA;24.5;0
21/08/2018;07:56:24;1.31;99.03;30.56;NA;24.52;0
21/08/2018;07:56:25;1.32;98.87;30.58;NA;24.53;0
21/08/2018;07:56:26;1.34;98.64;30.59;NA;24.51;0
21/08/2018;07:56:27;1.36;98.66;30.6;NA;24.52;0
21/08/2018;07:56:28;1.38;98.11;30.64;NA;24.53;0
21/08/2018;07:56:29;1.4;98.47;30.62;NA;24.52;0
21/08/2018;07:56:30;1.41;98.26;30.63;NA;24.51;0
21/08/2018;07:56:31;1.43;98.09;30.65;NA;24.52;0
21/08/2018;07:56:32;1.44;97.9;30.66;NA;24.52;0
21/08/2018;07:56:33;1.46;98.07;30.64;NA;24.51;0
21/08/2018;07:56:34;1.47;97.88;30.66;NA;24.51;0
21/08/2018;07:56:35;1.49;97.7;30.68;NA;24.51;0
21/08/2018;07:56:36;1.5;97.9;30.66;NA;24.52;0
21/08/2018;07:56:37;1.52;97.72;30.69;NA;24.52;0
21/08/2018;07:56:38;1.53;97.51;30.7;NA;24.51;0
21/08/2018;07:56:39;1.55;97.36;30.7;NA;24.53;0
21/08/2018;07:56:40;1.56;97.51;30.7;NA;24.51;0
21/08/2018;07:56:41;1.58;96.94;30.75;NA;24.51;0
21/08/2018;07:56:42;1.59;97.32;30.73;NA;24.51;0
21/08/2018;07:56:43;1.61;97.17;30.72;NA;24.53;0
21/08/2018;07:56:44;1.63;97.15;30.74;NA;24.52;0
21/08/2018;07:56:45;1.65;96.94;30.75;NA;24.51;0
21/08/2018;07:56:46;1.66;96.96;30.76;NA;24.52;0
21/08/2018;07:56:47;1.68;96.78;30.77;NA;24.52;0
21/08/2018;07:56:48;1.69;96.59;30.79;NA;24.52;0
21/08/2018;07:56:49;1.71;96.75;30.77;NA;24.51;0
21/08/2018;07:56:50;1.72;96.19;30.82;NA;24.51;0
21/08/2018;07:56:51;1.74;96.42;30.8;NA;24.53;0
21/08/2018;07:56:52;1.76;96.21;30.82;NA;24.52;0
21/08/2018;07:56:53;1.77;95.83;30.86;NA;24.52;0
21/08/2018;07:56:54;1.79;95.81;30.85;NA;24.51;0
21/08/2018;07:56:55;1.8;95.83;30.86;NA;24.52;0
21/08/2018;07:56:56;1.82;95.83;30.84;NA;24.52;0
21/08/2018;07:56:57;1.83;95.5;30.88;NA;24.54;0
21/08/2018;07:56:58;1.85;95.27;30.9;NA;24.52;0
21/08/2018;07:56:59;1.86;95.27;30.9;NA;24.52;0
21/08/2018;07:57:00;1.89;95.08;30.92;NA;24.52;0
21/08/2018;07:57:01;1.9;95.08;30.92;NA;24.52;0
21/08/2018;07:57:02;1.92;95.29;30.91;NA;24.53;0
21/08/2018;07:57:03;1.94;94.87;30.95;NA;24.51;0
21/08/2018;07:57:04;1.96;95.06;30.92;NA;24.51;0
21/08/2018;07:57:05;1.97;94.89;30.94;NA;24.52;0
21/08/2018;07:57:06;1.99;94.66;30.97;NA;24.5;0
21/08/2018;07:57:07;2;94.68;30.96;NA;24.51;0
21/08/2018;07:57:08;2.02;94.5;30.99;NA;24.51;0
21/08/2018;07:57:09;2.03;94.14;31.01;NA;24.52;0
21/08/2018;07:57:10;2.05;94.31;31;NA;24.51;0
21/08/2018;07:57:11;2.06;94.48;30.98;NA;24.5;0
21/08/2018;07:57:12;2.08;94.12;31.02;NA;24.51;0
21/08/2018;07:57:13;2.1;94.14;31.01;NA;24.52;0
21/08/2018;07:57:14;2.12;94.12;31.01;NA;24.51;0
21/08/2018;07:57:15;2.14;93.6;31.07;NA;24.53;0
21/08/2018;07:57:16;2.16;93.76;31.05;NA;24.52;0
21/08/2018;07:57:17;2.19;93.74;31.05;NA;24.51;0
21/08/2018;07:57:18;2.21;93.56;31.07;NA;24.51;0
21/08/2018;07:57:19;2.23;93.58;31.06;NA;24.52;0
21/08/2018;07:57:20;2.24;93.18;31.1;NA;24.51;0
21/08/2018;07:57:21;2.26;93.39;31.09;NA;24.52;0
21/08/2018;07:57:22;2.28;93.56;31.07;NA;24.51;0
21/08/2018;07:57:23;2.29;93.01;31.12;NA;24.52;0
21/08/2018;07:57:24;2.31;92.8;31.14;NA;24.51;0
21/08/2018;07:57:25;2.32;92.82;31.14;NA;24.52;0
21/08/2018;07:57:26;2.34;92.95;31.13;NA;24.49;0
21/08/2018;07:57:27;2.36;92.43;31.18;NA;24.51;0
21/08/2018;07:57:28;2.38;92.43;31.18;NA;24.51;0
21/08/2018;07:57:29;2.4;92.78;31.15;NA;24.5;0
21/08/2018;07:57:30;2.41;92.24;31.2;NA;24.51;0
21/08/2018;07:57:31;2.43;92.43;31.18;NA;24.51;0
21/08/2018;07:57:32;2.44;92.24;31.2;NA;24.51;0
21/08/2018;07:57:33;2.46;92.05;31.21;NA;24.51;0
21/08/2018;07:57:34;2.47;91.84;31.23;NA;24.5;0
21/08/2018;07:57:35;2.49;91.67;31.24;NA;24.51;0
21/08/2018;07:57:36;2.5;91.88;31.22;NA;24.52;0
21/08/2018;07:57:37;2.52;91.69;31.25;NA;24.52;0
21/08/2018;07:57:38;2.53;91.65;31.25;NA;24.5;0
21/08/2018;07:57:39;2.55;91.67;31.25;NA;24.51;0
21/08/2018;07:57:40;2.56;91.49;31.26;NA;24.51;0
21/08/2018;07:57:41;2.58;91.32;31.29;NA;24.52;0
21/08/2018;07:57:42;2.59;91.11;31.31;NA;24.51;0
21/08/2018;07:57:43;2.61;91.11;31.3;NA;24.51;0
21/08/2018;07:57:44;2.63;90.73;31.35;NA;24.51;0
21/08/2018;07:57:45;2.65;91.09;31.31;NA;24.5;0
21/08/2018;07:57:46;2.66;90.92;31.33;NA;24.51;0
21/08/2018;07:57:47;2.68;90.71;31.35;NA;24.5;0
21/08/2018;07:57:48;2.69;90.71;31.35;NA;24.5;0
21/08/2018;07:57:49;2.71;90.51;31.37;NA;24.49;0
21/08/2018;07:57:50;2.72;90.54;31.35;NA;24.51;0
21/08/2018;07:57:51;2.74;90.19;31.39;NA;24.52;0
21/08/2018;07:57:52;2.76;90.19;31.4;NA;24.52;0
21/08/2018;07:57:53;2.77;90.32;31.39;NA;24.49;0
21/08/2018;07:57:54;2.79;90.17;31.4;NA;24.51;0
21/08/2018;07:57:55;2.8;89.77;31.43;NA;24.5;0
21/08/2018;07:57:56;2.82;89.98;31.41;NA;24.51;0
21/08/2018;07:57:57;2.83;89.96;31.43;NA;24.5;0
21/08/2018;07:57:58;2.85;89.79;31.44;NA;24.51;0
21/08/2018;07:57:59;2.86;89.6;31.45;NA;24.51;0
21/08/2018;07:58:00;2.89;89.4;31.47;NA;24.5;0
21/08/2018;07:58:01;2.9;89.06;31.5;NA;24.52;0
21/08/2018;07:58:02;2.92;89.23;31.49;NA;24.51;0
21/08/2018;07:58:03;2.94;89.21;31.5;NA;24.5;0
21/08/2018;07:58:04;2.96;89.23;31.48;NA;24.51;0
21/08/2018;07:58:05;2.97;88.85;31.53;NA;24.51;0
21/08/2018;07:58:06;2.99;88.85;31.52;NA;24.51;0
21/08/2018;07:58:07;3;88.87;31.53;NA;24.52;0
21/08/2018;07:58:08;3.02;88.27;31.58;NA;24.5;0
21/08/2018;07:58:09;3.03;88.85;31.53;NA;24.51;0
21/08/2018;07:58:10;3.05;88.64;31.56;NA;24.5;0
21/08/2018;07:58:11;3.06;88.47;31.56;NA;24.51;0
21/08/2018;07:58:12;3.08;88.47;31.56;NA;24.51;0
21/08/2018;07:58:13;3.1;88.27;31.59;NA;24.5;0
21/08/2018;07:58:14;3.12;88.29;31.59;NA;24.51;0
21/08/2018;07:58:15;3.14;87.7;31.65;NA;24.5;0
21/08/2018;07:58:16;3.16;87.91;31.63;NA;24.51;0
21/08/2018;07:58:17;3.19;88.08;31.6;NA;24.5;0
21/08/2018;07:58:18;3.21;87.91;31.63;NA;24.51;0
21/08/2018;07:58:19;3.23;87.7;31.64;NA;24.5;0
21/08/2018;07:58:20;3.24;87.51;31.66;NA;24.5;0
21/08/2018;07:58:21;3.26;87.35;31.68;NA;24.51;0
21/08/2018;07:58:22;3.28;87.51;31.66;NA;24.5;0
21/08/2018;07:58:23;3.29;87.51;31.66;NA;24.5;0
21/08/2018;07:58:24;3.31;87.51;31.67;NA;24.5;0
21/08/2018;07:58:25;3.32;87.16;31.7;NA;24.51;0
21/08/2018;07:58:26;3.34;87.16;31.7;NA;24.51;0
21/08/2018;07:58:27;3.36;86.95;31.72;NA;24.5;0
21/08/2018;07:58:28;3.38;86.76;31.75;NA;24.5;0
21/08/2018;07:58:29;3.4;86.76;31.74;NA;24.5;0
21/08/2018;07:58:30;3.41;86.76;31.75;NA;24.5;0
21/08/2018;07:58:31;3.43;86.39;31.77;NA;24.5;0
21/08/2018;07:58:32;3.44;86.2;31.79;NA;24.5;0
21/08/2018;07:58:33;3.46;86.56;31.76;NA;24.49;0
21/08/2018;07:58:34;3.47;86.4;31.78;NA;24.51;0
21/08/2018;07:58:35;3.49;86.56;31.77;NA;24.49;0
21/08/2018;07:58:36;3.5;86.39;31.78;NA;24.5;0
21/08/2018;07:58:37;3.52;86.2;31.8;NA;24.5;0
21/08/2018;07:58:38;3.53;85.82;31.83;NA;24.5;0
21/08/2018;07:58:39;3.55;85.82;31.83;NA;24.5;0
21/08/2018;07:58:40;3.56;85.63;31.85;NA;24.5;0
21/08/2018;07:58:41;3.58;85.82;31.84;NA;24.5;0
21/08/2018;07:58:42;3.59;85.46;31.87;NA;24.51;0
21/08/2018;07:58:43;3.61;85.65;31.85;NA;24.51;0
21/08/2018;07:58:44;3.63;85.46;31.87;NA;24.51;0
21/08/2018;07:58:45;3.65;85.26;31.89;NA;24.5;0
21/08/2018;07:58:46;3.66;85.28;31.89;NA;24.51;0
21/08/2018;07:58:47;3.68;85.07;31.91;NA;24.5;0
21/08/2018;07:58:48;3.69;85.09;31.91;NA;24.51;0
21/08/2018;07:58:49;3.71;84.88;31.93;NA;24.5;0
21/08/2018;07:58:50;3.72;85.07;31.92;NA;24.5;0
21/08/2018;07:58:51;3.74;84.88;31.94;NA;24.5;0
