21/08/2018/07:55 SW ver:OXY4v2_30
Header Ch-2
Description:
IDENTIFICATION
PHIboard number   : v1231163
PM number         : 00000000
Serial number     : S DLD 0001 000067
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 081
Ref LED amplitude : 47805
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 56.00 at 020.0�C amp 064600
100.00%a.s.phase 2: 27.00 at 020.0�C amp 065500
Date   (ddmmyy)   : 231112
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/�;Amp;Temp/�C;Error
21/08/2018;07:55:07;0;99.7;30.49;NA;24.3;0
21/08/2018;07:55:08;0.02;99.14;30.55;NA;24.3;0
21/08/2018;07:55:09;0.03;99.14;30.55;NA;24.3;0
21/08/2018;07:55:10;0.05;99.14;30.54;NA;24.3;0
21/08/2018;07:55:11;0.06;99.3;30.53;NA;24.29;0
21/08/2018;07:55:12;0.08;99.33;30.54;NA;24.3;0
21/08/2018;07:55:13;0.1;99.33;30.52;NA;24.3;0
21/08/2018;07:55:14;0.12;99.35;30.53;NA;24.31;0
21/08/2018;07:55:15;0.14;99.33;30.54;NA;24.3;0
21/08/2018;07:55:16;0.16;99.51;30.52;NA;24.3;0
21/08/2018;07:55:17;0.19;99.53;30.51;NA;24.31;0
21/08/2018;07:55:18;0.21;98.99;30.55;NA;24.32;0
21/08/2018;07:55:19;0.23;99.3;30.53;NA;24.29;0
21/08/2018;07:55:20;0.24;99.33;30.53;NA;24.3;0
21/08/2018;07:55:21;0.26;99.49;30.52;NA;24.29;0
21/08/2018;07:55:22;0.28;99.12;30.55;NA;24.29;0
21/08/2018;07:55:23;0.29;99.33;30.54;NA;24.3;0
21/08/2018;07:55:24;0.31;99.37;30.52;NA;24.32;0
