21/08/2018/07:55 SW ver:OXY4v2_30
Header Ch-1
Description:
IDENTIFICATION
PHIboard number   : v1231162
PM number         : 00000000
Serial number     : S DLD 0001 000067
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 081
Ref LED amplitude : 70652
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 56.00 at 020.0�C amp 080000
100.00%a.s.phase 2: 27.00 at 020.0�C amp 081700
Date   (ddmmyy)   : 231117
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/�;Amp;Temp/�C;Error
21/08/2018;07:55:07;0;96.97;30.75;NA;24.43;0
21/08/2018;07:55:08;0.02;97.01;30.74;NA;24.45;0
21/08/2018;07:55:09;0.03;97.16;30.73;NA;24.43;0
21/08/2018;07:55:10;0.05;97.16;30.72;NA;24.43;0
21/08/2018;07:55:11;0.06;97.28;30.73;NA;24.4;0
21/08/2018;07:55:12;0.08;97.13;30.73;NA;24.42;0
21/08/2018;07:55:13;0.1;97.32;30.71;NA;24.42;0
21/08/2018;07:55:14;0.12;97.34;30.71;NA;24.43;0
21/08/2018;07:55:15;0.14;97.3;30.72;NA;24.41;0
21/08/2018;07:55:16;0.16;97.51;30.7;NA;24.42;0
21/08/2018;07:55:17;0.19;97.13;30.74;NA;24.42;0
21/08/2018;07:55:18;0.21;97.11;30.74;NA;24.41;0
21/08/2018;07:55:19;0.23;97.57;30.7;NA;24.36;0
21/08/2018;07:55:20;0.24;97.2;30.71;NA;24.45;0
21/08/2018;07:55:21;0.26;97.36;30.71;NA;24.44;0
21/08/2018;07:55:22;0.28;97.18;30.72;NA;24.44;0
21/08/2018;07:55:23;0.29;97.76;30.68;NA;24.45;0
21/08/2018;07:55:24;0.31;97.51;30.7;NA;24.42;0
21/08/2018;07:55:25;0.32;97.51;30.7;NA;24.42;0
21/08/2018;07:55:26;0.34;97.24;30.71;NA;24.47;0
21/08/2018;07:55:27;0.36;97.2;30.72;NA;24.45;0
21/08/2018;07:55:28;0.38;97.51;30.7;NA;24.42;0
21/08/2018;07:55:29;0.4;97.72;30.68;NA;24.43;0
21/08/2018;07:55:30;0.41;97.53;30.7;NA;24.43;0
21/08/2018;07:55:31;0.43;97.55;30.69;NA;24.44;0
21/08/2018;07:55:32;0.44;97.57;30.68;NA;24.45;0
21/08/2018;07:55:33;0.46;97.72;30.67;NA;24.43;0
21/08/2018;07:55:34;0.47;97.93;30.65;NA;24.44;0
21/08/2018;07:55:35;0.49;97.53;30.69;NA;24.43;0
21/08/2018;07:55:36;0.5;97.72;30.67;NA;24.43;0
21/08/2018;07:55:37;0.52;97.7;30.67;NA;24.42;0
21/08/2018;07:55:38;0.53;97.91;30.66;NA;24.43;0
21/08/2018;07:55:39;0.55;97.76;30.67;NA;24.45;0
21/08/2018;07:55:40;0.56;97.76;30.66;NA;24.45;0
21/08/2018;07:55:41;0.58;98.07;30.65;NA;24.42;0
21/08/2018;07:55:42;0.59;97.57;30.69;NA;24.45;0
21/08/2018;07:55:43;0.61;97.7;30.68;NA;24.42;0
21/08/2018;07:55:44;0.63;97.72;30.68;NA;24.43;0
21/08/2018;07:55:45;0.65;97.76;30.68;NA;24.45;0
21/08/2018;07:55:46;0.66;97.72;30.68;NA;24.43;0
21/08/2018;07:55:47;0.68;97.76;30.67;NA;24.45;0
21/08/2018;07:55:48;0.69;97.76;30.68;NA;24.45;0
21/08/2018;07:55:49;0.71;97.87;30.67;NA;24.41;0
21/08/2018;07:55:50;0.72;97.74;30.68;NA;24.44;0
21/08/2018;07:55:51;0.74;97.93;30.66;NA;24.44;0
21/08/2018;07:55:52;0.76;97.38;30.71;NA;24.45;0
21/08/2018;07:55:53;0.77;97.7;30.68;NA;24.42;0
21/08/2018;07:55:54;0.79;97.36;30.71;NA;24.44;0
21/08/2018;07:55:55;0.8;97.57;30.68;NA;24.45;0
21/08/2018;07:55:56;0.82;97.55;30.69;NA;24.44;0
21/08/2018;07:55:57;0.83;97.01;30.73;NA;24.45;0
21/08/2018;07:55:58;0.85;97.53;30.69;NA;24.43;0
21/08/2018;07:55:59;0.86;97.34;30.71;NA;24.43;0
21/08/2018;07:56:00;0.89;97.72;30.68;NA;24.43;0
