"location","timepoint","CI_group","counts","effort"
"Location_1",2010,"Group_1",779,1.08572639221599
"Location_1",2011,"Group_1",880,1.18449391747088
"Location_1",2014,"Group_1",750,0.850818741869624
"Location_1",2015,"Group_1",1010,1.14700171029561
"Location_1",2018,"Group_1",1011,0.998521097866574
"Location_1",2019,"Group_1",1164,1.04643919675534
"Location_1",2020,"Group_1",1301,1.16258400233471
"Location_1",2022,"Group_1",1019,0.868598778878341
"Location_1",2025,"Group_1",1200,0.878194740632159
"Location_2",2010,"Group_1",672,0.909311071297332
"Location_2",2011,"Group_1",813,0.966841468275147
"Location_2",2014,"Group_1",741,0.900552993894372
"Location_2",2015,"Group_1",1085,1.16860884309583
"Location_2",2018,"Group_1",965,0.989760526070775
"Location_2",2019,"Group_1",1263,1.18548673601059
"Location_2",2020,"Group_1",1111,0.988527747843005
"Location_2",2022,"Group_1",1104,0.931203404575757
"Location_2",2025,"Group_1",1263,0.94375977419265
"Location_3",2010,"Group_1",728,0.994706151614963
"Location_3",2011,"Group_1",617,0.829126741112406
"Location_3",2014,"Group_1",891,0.976407284853891
"Location_3",2015,"Group_1",851,0.962584405984311
"Location_3",2018,"Group_1",1051,1.05292196925254
"Location_3",2019,"Group_1",874,0.872720988646706
"Location_3",2020,"Group_1",1222,1.12568614031793
"Location_3",2022,"Group_1",1112,0.944959044178344
"Location_3",2025,"Group_1",1411,1.03445613046422
